exposure,outcome,source,magnitude_eligible,sbp_converted,b_eur_used,se_eur_used,b_eas,se_eas,z,p_int,fdr,sign_concordant,family_size,bonferroni_threshold
BMI,CAD,network,True,False,0.386981,0.027944,0.161933,0.101154,2.1445,3.199411e-02,6.698766e-02,,67,7.462687e-04
BMI,CKD,zheng_ckd,True,False,0.142900,0.028600,0.408100,0.144000,-1.8064,7.085844e-02,1.186879e-01,,67,7.462687e-04
BMI,HDL,network,True,False,-0.275173,0.016855,-0.193465,0.050230,-1.5422,1.230271e-01,1.873368e-01,,67,7.462687e-04
BMI,HF,network,True,False,0.524648,0.019899,0.450654,0.073386,0.9731,3.304870e-01,4.436106e-01,,67,7.462687e-04
BMI,LDL,network,True,False,-0.021209,0.022285,0.001545,0.038219,-0.5143,6.070376e-01,6.778586e-01,,67,7.462687e-04
BMI,Stroke,network,True,False,0.151321,0.024940,0.156619,0.064770,-0.0763,9.391522e-01,9.529899e-01,,67,7.462687e-04
BMI,T2D,network,True,False,0.990296,0.063195,-0.153085,0.277767,4.0138,5.975789e-05,4.448643e-04,,67,7.462687e-04
BMI,TC,network,True,False,-0.052156,0.021413,-0.022581,0.032198,-0.7648,4.443706e-01,5.413242e-01,,67,7.462687e-04
BMI,TG,network,True,False,0.205053,0.020334,0.164341,0.036618,0.9720,3.310527e-01,4.436106e-01,,67,7.462687e-04
CAD,BMI,network,True,False,-0.004515,0.017549,-0.031767,0.013185,1.2415,2.144148e-01,3.056551e-01,,67,7.462687e-04
CAD,HDL,network,True,False,-0.105010,0.034954,-0.072441,0.050993,-0.5268,5.983324e-01,6.778586e-01,,67,7.462687e-04
CAD,HF,network,True,False,0.285129,0.012260,0.072704,0.030879,6.3938,1.618603e-10,5.422320e-09,,67,7.462687e-04
CAD,LDL,network,True,False,0.246198,0.049986,0.088216,0.077606,1.7114,8.700471e-02,1.421784e-01,,67,7.462687e-04
CAD,Stroke,network,True,False,0.171125,0.020433,-0.005629,0.049614,3.2942,9.870869e-04,4.133427e-03,,67,7.462687e-04
CAD,T2D,network,True,False,0.167536,0.034876,0.020297,0.023869,3.4840,4.940474e-04,2.588841e-03,,67,7.462687e-04
CAD,TC,network,True,False,0.194064,0.041169,0.070018,0.049787,1.9201,5.484639e-02,1.040461e-01,,67,7.462687e-04
CAD,TG,network,True,False,0.055585,0.031409,0.037853,0.079238,0.2080,8.352023e-01,8.882310e-01,,67,7.462687e-04
HDL,BMI,network,True,False,-0.068085,0.031953,0.011470,0.017739,-2.1768,2.949455e-02,6.374630e-02,,67,7.462687e-04
HDL,CAD,network,True,False,-0.305326,0.026902,-0.143863,0.047108,-2.9764,2.917005e-03,1.085774e-02,,67,7.462687e-04
HDL,HF,network,True,False,-0.123456,0.020223,-0.018083,0.032252,-2.7680,5.640077e-03,1.717660e-02,,67,7.462687e-04
HDL,LDL,network,True,False,-0.045478,0.026526,-0.102536,0.077293,0.6982,4.850403e-01,5.803160e-01,,67,7.462687e-04
HDL,Stroke,network,True,False,-0.099880,0.021775,0.005408,0.038769,-2.3678,1.789218e-02,4.281343e-02,,67,7.462687e-04
HDL,T2D,network,True,False,-0.487548,0.058757,-0.021048,0.050810,-6.0055,1.907870e-09,3.195682e-08,,67,7.462687e-04
HDL,TC,network,True,False,0.155390,0.027424,0.173844,0.056422,-0.2942,7.686327e-01,8.419160e-01,,67,7.462687e-04
HDL,TG,network,True,False,-0.512066,0.027077,-0.266835,0.086964,-2.6924,7.093793e-03,2.066453e-02,,67,7.462687e-04
LDL,BMI,network,True,False,-0.011618,0.022096,-0.068132,0.021032,1.8526,6.394073e-02,1.127376e-01,,67,7.462687e-04
LDL,CAD,network,True,False,0.510856,0.033262,0.526820,0.084878,-0.1751,8.609897e-01,9.013486e-01,,67,7.462687e-04
LDL,HDL,network,True,False,-0.075781,0.033256,-0.113599,0.130650,0.2805,7.790865e-01,8.419160e-01,,67,7.462687e-04
