exposure,outcome,n_merged,n_pruned,z_sharing_vs_causal,p,gamma_med,gamma_lo,gamma_hi,eta_med,q_med,verdict
CAD,HF,7435154,1147,-9.09658374724171,4.66089082550514e-20,0.244469328120081,0.217265383164971,0.271867685017867,0.00280984475025957,0.0316521248624185,CAUSAL
HF,CAD,7435154,743,-2.6059726924677,0.00458068826425564,0.404793945269941,0.330844614136623,0.479725592091885,3.23403230213678,0.00979199009622512,CAUSAL
CAD,T2D,4273108,838,-2.48256373768671,0.00652203648737009,0.145008982923671,0.0970639389065505,0.199974973118381,0.148662456099233,0.0314737636239037,CAUSAL
HF,T2D,4208964,469,-3.25749122464489,0.00056200866854353,0.290543971082476,0.169018586752977,0.412550928123758,0.01497964282066,0.0364400761424774,CAUSAL
T2D,CAD,4273108,684,-4.67974965162986,1.43612710667036e-06,0.129963492374363,0.099154651779989,0.162464305066594,0.00568428988547114,0.0303382423606288,CAUSAL
T2D,HF,4208964,683,0.834610869319723,0.7980315798607,0.0389370348544348,0.00172492238802777,0.123998681940257,0.100054850462707,0.196428407636651,SHARING/PLEIOTROPY
BMI,T2D,1790498,2649,-7.46769075125329,4.08071845041161e-14,0.789591035394124,0.721801249338103,0.862578372867479,-0.00973762679709842,0.0302629364556211,CAUSAL
HbA1c,T2D,4273109,1487,-0.771073518781307,0.220331677923836,0.563137458875311,0.361486972512359,1.54289621073287,1.24720971969424,0.320425533343063,SHARING/PLEIOTROPY
BMI,CAD,1974386,2800,-5.68578375515481,6.51070395204263e-09,0.267634321801552,0.221971069913492,0.308774352755077,-0.0192257027377274,0.0279884559547441,CAUSAL
LDL,CAD,15602396,2948,-5.86849651038808,2.19882326906248e-09,0.422749036821297,0.38043292272216,0.467544770400221,1.32665265071562,0.0055571913662451,CAUSAL
