swaps_per_edge,seed,p,accept_pct,turnover_pct,orig_kept_pct,replicates_capped,mean_successful_swaps,target_swaps
10,42,0.26987,8.46,28.82,71.18,0,540.0,540
10,202607,0.28336,8.46,28.78,71.22,0,540.0,540
10,8675309,0.26187,8.47,28.72,71.28,0,540.0,540
25,42,0.28286,8.46,28.59,71.41,0,1350.0,1350
25,202607,0.27836,8.46,28.89,71.11,0,1350.0,1350
25,8675309,0.26287,8.45,28.62,71.38,0,1350.0,1350
50,42,0.28336,8.45,28.74,71.26,0,2700.0,2700
50,202607,0.27336,8.45,28.88,71.12,0,2700.0,2700
50,8675309,0.27336,8.45,28.7,71.3,0,2700.0,2700
100,42,0.28236,8.46,28.69,71.31,0,5400.0,5400
100,202607,0.25187,8.45,28.6,71.4,0,5400.0,5400
100,8675309,0.27886,8.46,28.71,71.29,0,5400.0,5400
