edge,exposure,outcome,exp_units_eur,exp_units_eas,out_units,EUR_b,EAS_b,EUR_b_perSD,EAS_b_perSD,EUR_p,EAS_p,dir_concordant,both_sig,comparable,scale_note
BMI->CAD,BMI,CAD,per-SD,per-SD,log-OR,0.386980879552735,0.16193285958307,0.387,0.1619,1.3e-43,1.1e-01,True,False,True,
BMI->HF,BMI,HF,per-SD,per-SD,log-OR,0.524647616025081,0.450654292067649,0.5246,0.4507,3.4e-153,8.2e-10,True,True,True,
BMI->Stroke,BMI,Stroke,per-SD,per-SD,log-OR,0.151320703449841,0.156618843441132,0.1513,0.1566,1.3e-09,1.6e-02,True,True,True,
SBP->CAD,SBP,CAD,per-mmHg,per-SD (INT),log-OR,0.0335822023384555,0.5272676763695,0.6481,0.5273,9.1e-45,2.0e-02,True,True,True,EUR rescaled per-mmHg->per-SD (x19.3)
SBP->HF,SBP,HF,per-mmHg,per-SD (INT),log-OR,0.0198823995174554,0.85693325801767,0.3837,0.8569,1.7e-37,1.0e-10,True,True,True,EUR rescaled per-mmHg->per-SD (x19.3)
SBP->Stroke,SBP,Stroke,per-mmHg,per-SD (INT),log-OR,0.0268628637729715,0.972974234398061,0.5185,0.973,1.2e-51,9.5e-09,True,True,True,EUR rescaled per-mmHg->per-SD (x19.3)
LDL->CAD,LDL,CAD,per-SD,per-SD,log-OR,0.510856329399863,0.526820176357244,0.5109,0.5268,3.1e-53,5.4e-10,True,True,True,
TC->CAD,TC,CAD,per-SD,per-SD,log-OR,0.434009464217162,0.581680121280956,0.434,0.5817,4.9e-44,8.9e-10,True,True,True,
TG->CAD,TG,CAD,per-SD,per-SD,log-OR,0.392733726954263,0.226175571597121,0.3927,0.2262,6.2e-37,3.3e-06,True,True,True,
HDL->CAD,HDL,CAD,per-SD,per-SD,log-OR,-0.30532568664138,-0.143862999091129,-0.3053,-0.1439,7.4e-30,2.3e-03,True,True,True,
HbA1c->CAD,HbA1c,CAD,per-unit (MAGIC),per-SD (INT),log-OR,0.183767238152452,0.0665103637251991,0.1838,0.0665,2.1e-13,2.9e-01,True,False,False,
