edge,EUR_b,EUR_p,EAS_b,EAS_p,dir_concordant,both_sig
BMI->CAD,0.387,1.3e-43,0.162,1.1e-01,True,False
BMI->HDL,-0.275,6.4e-60,-0.193,1.2e-04,True,True
BMI->HF,0.525,3.4e-153,0.451,8.2e-10,True,True
BMI->HbA1c,0.225,3.2e-29,-0.234,2.6e-02,False,True
BMI->LDL,-0.021,3.4e-01,0.002,9.7e-01,False,False
BMI->Stroke,0.151,1.3e-09,0.157,1.6e-02,True,True
BMI->T2D,0.990,2.4e-55,-0.153,5.8e-01,False,False
BMI->TC,-0.052,1.5e-02,-0.023,4.8e-01,True,False
BMI->TG,0.205,6.5e-24,0.164,7.2e-06,True,True
BMI->eGFR,-0.003,6.7e-02,-0.072,2.5e-02,True,False
CAD->BMI,-0.005,8.0e-01,-0.032,1.6e-02,True,False
CAD->HDL,-0.105,2.7e-03,-0.072,1.6e-01,True,False
CAD->HF,0.285,1.2e-119,0.073,1.9e-02,True,True
CAD->HbA1c,0.031,3.3e-02,0.002,9.1e-01,True,False
CAD->LDL,0.246,8.4e-07,0.088,2.6e-01,True,False
CAD->Stroke,0.171,5.5e-17,-0.006,9.1e-01,False,False
CAD->T2D,0.168,1.6e-06,0.020,4.0e-01,True,False
CAD->TC,0.194,2.4e-06,0.070,1.6e-01,True,False
CAD->TG,0.056,7.7e-02,0.038,6.3e-01,True,False
CAD->eGFR,-0.001,6.7e-01,0.006,7.3e-01,False,False
HDL->BMI,-0.068,3.3e-02,0.011,5.2e-01,False,False
HDL->CAD,-0.305,7.4e-30,-0.144,2.3e-03,True,True
HDL->HF,-0.123,1.0e-09,-0.018,5.8e-01,True,False
HDL->HbA1c,-0.047,5.5e-03,-0.044,9.7e-02,True,False
HDL->LDL,-0.045,8.6e-02,-0.103,1.8e-01,True,False
HDL->Stroke,-0.100,4.5e-06,0.005,8.9e-01,False,False
HDL->T2D,-0.488,1.1e-16,-0.021,6.8e-01,True,False
HDL->TC,0.155,1.5e-08,0.174,2.1e-03,True,True
HDL->TG,-0.512,9.1e-80,-0.267,2.2e-03,True,True
HDL->eGFR,0.001,7.2e-01,0.036,4.4e-02,True,False
HbA1c->BMI,0.004,9.0e-01,-0.303,8.4e-10,False,False
HbA1c->CAD,0.184,2.1e-13,0.067,2.9e-01,True,False
HbA1c->HDL,-0.014,4.2e-01,0.124,7.7e-04,False,False
HbA1c->HF,0.048,1.5e-02,-0.180,1.4e-03,False,True
HbA1c->LDL,0.131,6.7e-20,0.031,3.9e-01,True,False
HbA1c->Stroke,0.113,5.1e-07,-0.031,5.3e-01,False,False
HbA1c->T2D,1.061,1.4e-28,1.512,4.1e-13,True,True
HbA1c->TC,0.134,1.2e-19,0.068,3.0e-02,True,True
HbA1c->TG,0.069,3.5e-04,-0.091,5.4e-03,False,True
HbA1c->eGFR,-0.001,6.8e-01,-0.004,8.4e-01,True,False
LDL->BMI,-0.012,6.0e-01,-0.068,1.2e-03,True,False
LDL->CAD,0.511,3.1e-53,0.527,5.4e-10,True,True
LDL->HDL,-0.076,2.3e-02,-0.114,3.8e-01,True,False
LDL->HF,0.121,2.3e-09,-0.011,8.2e-01,False,False
LDL->HbA1c,0.089,7.9e-03,0.047,2.9e-01,True,False
LDL->Stroke,0.070,2.0e-03,-0.052,3.8e-01,False,False
LDL->T2D,-0.008,8.9e-01,-0.051,4.0e-01,True,False
LDL->TC,0.909,0.0e+00,0.616,2.5e-37,True,True
LDL->TG,0.217,8.2e-13,-0.215,7.3e-02,False,False
LDL->eGFR,0.008,1.6e-04,0.023,4.8e-01,True,False
SBP->BMI,-0.003,6.2e-02,0.074,2.3e-01,False,False
SBP->CAD,0.034,9.1e-45,0.527,2.0e-02,True,True
SBP->HDL,-0.001,2.4e-01,0.268,8.7e-02,False,False
SBP->HF,0.020,1.7e-37,0.857,1.0e-10,True,True
SBP->HbA1c,0.001,6.3e-01,-0.200,3.1e-03,False,False
SBP->LDL,-0.002,4.0e-02,-0.244,6.2e-04,True,True
SBP->Stroke,0.027,1.2e-51,0.973,9.5e-09,True,True
SBP->T2D,0.017,3.0e-08,-0.076,4.5e-01,False,False
SBP->TC,-0.001,8.6e-02,-0.115,5.0e-05,True,False
SBP->TG,0.002,6.1e-02,-0.056,2.0e-01,False,False
SBP->eGFR,-0.000,4.3e-01,0.057,5.1e-01,False,False
T2D->BMI,0.010,5.8e-01,-0.098,2.1e-07,False,False
T2D->CAD,0.129,5.3e-09,0.054,2.3e-03,True,True
T2D->HDL,-0.071,2.7e-05,0.034,7.3e-03,False,True
T2D->HF,0.052,6.3e-05,-0.037,8.2e-02,False,False
T2D->HbA1c,0.279,7.1e-80,0.337,4.5e-157,True,True
T2D->LDL,0.001,9.2e-01,0.015,1.6e-01,True,False
T2D->Stroke,0.080,3.9e-10,-0.013,3.8e-01,False,False
T2D->TC,-0.003,8.2e-01,0.013,2.0e-01,False,False
T2D->TG,0.068,4.8e-03,-0.019,2.0e-01,False,False
T2D->eGFR,-0.000,8.1e-01,0.016,7.9e-02,False,False
TC->BMI,-0.023,3.5e-01,-0.102,5.7e-05,True,False
TC->CAD,0.434,4.9e-44,0.582,8.9e-10,True,True
TC->HDL,0.215,5.8e-10,0.511,6.2e-03,True,True
TC->HF,0.090,1.0e-05,-0.028,6.1e-01,False,False
TC->HbA1c,0.090,5.4e-03,-0.005,9.2e-01,False,False
TC->LDL,0.934,0.0e+00,0.943,1.5e-17,True,True
TC->Stroke,0.032,1.5e-01,-0.026,5.7e-01,False,False
TC->T2D,-0.041,3.7e-01,-0.045,4.5e-01,True,False
TC->TG,0.318,2.0e-32,0.111,3.8e-01,True,False
