exposure,outcome,b_eur_used,se_eur_used,b_eas,se_eas,z_raw,p_raw,z_absorbed,p_absorbed,sig_raw,sig_absorbed,global_slope,family_size,bonferroni
TG,LDL,0.276837,0.025492,-0.114809,0.051098,6.8585,6.959322e-12,4.5039,6.671382e-06,True,True,0.436049,67,7.462687e-04
CAD,HF,0.285129,0.012260,0.072704,0.030879,6.3938,1.618536e-10,1.6474,9.948024e-02,True,False,0.436049,67,7.462687e-04
TG,T2D,0.594295,0.079944,-0.052872,0.065737,6.2528,4.032137e-10,4.1933,2.749437e-05,True,True,0.436049,67,7.462687e-04
HDL,T2D,-0.487548,0.058757,-0.021048,0.050810,-6.0055,1.907701e-09,-3.3661,7.623202e-04,True,False,0.436049,67,7.462687e-04
LDL,TC,0.908600,0.012666,0.615575,0.048212,5.8784,4.143295e-09,-4.5208,6.161303e-06,True,True,0.436049,67,7.462687e-04
T2D,HDL,-0.071362,0.017008,0.033953,0.012662,-4.9668,6.806180e-07,-4.4344,9.233895e-06,True,True,0.436049,67,7.462687e-04
T2D,Stroke,0.080487,0.012863,-0.013349,0.015157,4.7203,2.355457e-06,2.9976,2.721415e-03,True,False,0.436049,67,7.462687e-04
T2D,BMI,0.009716,0.017674,-0.097718,0.018834,4.1596,3.188319e-05,5.0101,5.439809e-07,True,True,0.436049,67,7.462687e-04
BMI,T2D,0.990296,0.063195,-0.153085,0.277767,4.0138,5.975828e-05,2.0954,3.613158e-02,True,False,0.436049,67,7.462687e-04
T2D,HF,0.052464,0.013106,-0.037125,0.021336,3.5779,3.464156e-04,2.7165,6.598056e-03,True,False,0.436049,67,7.462687e-04
LDL,TG,0.216913,0.030304,-0.214505,0.119735,3.4930,4.776786e-04,2.5659,1.029176e-02,True,False,0.436049,67,7.462687e-04
CAD,T2D,0.167536,0.034876,0.020297,0.023869,3.4840,4.940367e-04,1.8641,6.231185e-02,True,False,0.436049,67,7.462687e-04
SBP,HF,0.383730,0.029986,0.856933,0.132650,-3.4795,5.023303e-04,-5.1736,2.295884e-07,True,True,0.436049,67,7.462687e-04
SBP,T2D,0.331332,0.059764,-0.076162,0.101853,3.4506,5.592536e-04,2.0986,3.584826e-02,True,False,0.436049,67,7.462687e-04
TG,TC,0.347041,0.026473,0.123127,0.062158,3.3143,9.188332e-04,0.4461,6.555597e-01,False,False,0.436049,67,7.462687e-04
