"exposure","outcome","tier","nsnp_harmonised","raw_b","raw_p","corrected_b","corrected_p","global_rssobs","global_p","n_outliers","distortion_p"
"Stroke","HF","full",23,0.300670223921952,0.000632052752449136,0.285752862761899,0.000363882055686787,257.081457187903,"<0.001",10,0.537
"HF","CAD","full",45,0.806897542357364,2.55066848429192e-06,0.508780325784962,9.53684381256793e-11,2102.83904369283,"<0.001",13,"<0.001"
"HF","Stroke","full",45,0.37807951731661,3.51055673205391e-07,0.266639317618038,1.55482247499341e-06,204.251759893385,"<0.001",5,0.001
"T2D","HbA1c","full",110,0.279312389209003,3.10843299131415e-36,0.265778966190602,8.65406174639924e-47,2689.30765064451,"<0.001",16,0.038
"T2D","HF","full",115,0.0524635251614278,0.000111689027315623,0.0479293515071986,0.000133154541993001,400.349440431157,"<0.001",10,0.591
"T2D","CAD","full",116,0.128975010422208,5.02388897680342e-08,0.115254066696727,4.39256558998524e-15,1095.24026583022,"<0.001",14,0.217
"T2D","HDL","full",116,-0.0713623125810016,5.37458510819786e-05,-0.0520232427788319,1.91335778539778e-13,8341.94456403579,"<0.001",52,"<0.001"
"T2D","SBP","full",116,0.755193908281537,1.5653977990058e-07,0.636807740526687,7.01256162299927e-11,1098.05482186709,"<0.001",23,0.034
"T2D","Stroke","full",116,0.0804873528594998,6.92640817373414e-09,0.0748830136111154,8.94421065569528e-09,196.91866942816,"<0.001",2,0.609
"CAD","T2D","full",128,0.167535619614003,4.31092469638105e-06,0.146720235516717,1.28169971394874e-07,688.074578392449,"<0.001",13,0.375
"CAD","SBP","global_only",167,1.8193901415398,4.98880060141186e-09,NA,NA,5246.34725838822,"<0.001",NA,NA
"CAD","Stroke","global_only",168,0.171125169546868,2.14796053952029e-14,NA,NA,520.811263266567,"<0.001",NA,NA
"CAD","HF","global_only",171,0.285128893290755,1.07290772225555e-54,NA,NA,359.806793934116,"<0.001",NA,NA
"CAD","TC","global_only",174,0.194063920356122,4.98061502330549e-06,NA,NA,57001.7348123349,"<0.001",NA,NA
"CAD","LDL","global_only",175,0.246198328884985,1.94790217361091e-06,NA,NA,78996.9667321629,"<0.001",NA,NA
"HbA1c","T2D","global_only",198,1.06101996931874,1.57701255975452e-22,NA,NA,3533.45863766191,"<0.001",NA,NA
"HbA1c","Stroke","global_only",289,0.112782586820416,8.91719677142599e-07,NA,NA,483.839729882939,"<0.001",NA,NA
"TG","T2D","global_only",296,0.594295442560336,1.15052750002883e-12,NA,NA,2873.37394546829,"<0.001",NA,NA
"HDL","T2D","global_only",306,-0.487547910421763,3.4667343804614e-15,NA,NA,1847.31436548318,"<0.001",NA,NA
"SBP","T2D","global_only",334,0.0171674535635733,6.02629005194588e-08,NA,NA,1267.59967333975,"<0.001",NA,NA
"HbA1c","CAD","global_only",336,0.183767238152452,1.61977218705708e-12,NA,NA,1479.3839527266,"<0.001",NA,NA
"HbA1c","LDL","global_only",342,0.130965037323888,6.07271028833602e-18,NA,NA,6442.29273802204,"<0.001",NA,NA
"HbA1c","TC","global_only",342,0.133819605281325,9.68155419295619e-18,NA,NA,7327.07682538719,"<0.001",NA,NA
"HbA1c","TG","global_only",342,0.06870249000348,0.000402733340997976,NA,NA,11817.8399936978,"<0.001",NA,NA
"LDL","HF","global_only",379,0.121468868674459,5.30022335099455e-09,NA,NA,996.070321188005,"<0.001",NA,NA
"LDL","eGFR","global_only",381,0.00790990670393054,0.000189543269871845,NA,NA,3367.17973650647,"<0.001",NA,NA
"TG","SBP","global_only",416,1.75137508160823,7.41746576257197e-10,NA,NA,4206.26037803249,"<0.001",NA,NA
"TG","HbA1c","global_only",428,0.102286936976087,5.38633913503291e-05,NA,NA,9675.37624658152,"<0.001",NA,NA
"TG","Stroke","global_only",430,0.0974338451335505,7.89072021967499e-05,NA,NA,736.305021786525,"<0.001",NA,NA
"SBP","HF","global_only",431,0.0198823995174554,5.3792907424018e-32,NA,NA,1323.80227522055,"<0.001",NA,NA
"SBP","Stroke","global_only",434,0.0268628637729715,8.77097274934679e-42,NA,NA,926.12174418069,"<0.001",NA,NA
"SBP","CAD","global_only",436,0.0335822023384555,3.45401766148587e-37,NA,NA,3066.634775858,"<0.001",NA,NA
"HDL","SBP","global_only",439,-0.916884441934444,0.000126831596454295,NA,NA,4310.99544029897,"<0.001",NA,NA
