"model","outcome","exposure","nsnp","direct_b","direct_se","direct_p","total_b","total_p","cond_F"
"ApoB_CAD","CAD","ApoB",124,-0.163400380052247,0.181843911538264,0.370678588186935,0.45189940799237,2.05157084933565e-19,9.20964395204307
"ApoB_CAD","CAD","LDL",124,0.507662376949747,0.188525944028913,0.00809924953574494,0.510856329399863,3.09304327312795e-53,13.6263923221244
"ApoB_CAD","CAD","HDL",124,-0.138559332418497,0.071884102557567,0.0562759887822524,-0.30532568664138,7.44366932306188e-30,44.2118553951949
"ApoB_CAD","CAD","TG",124,0.164783677108877,0.0898594920455681,0.0691626883273783,0.392733726954263,6.19657923299496e-37,29.6457145973702
"ApoB_CAD_full","CAD","ApoB",44,-0.514966529853459,0.382881638979521,0.186605722983906,0.45189940799237,2.05157084933565e-19,2.19329822647716
"ApoB_CAD_full","CAD","LDL",44,0.85103315738206,0.357417662331613,0.0223784703917797,0.510856329399863,3.09304327312795e-53,2.10157168525235
"ApoB_CAD_full","CAD","HDL",44,-0.0710179202102638,0.0667663079495444,0.294186975268542,-0.30532568664138,7.44366932306188e-30,23.4707488134169
"ApoB_CAD_full","CAD","TG",44,0.296909977628474,0.169708021438617,0.0882717527560194,0.392733726954263,6.19657923299496e-37,5.20264116525948
"ApoB_CAD_full","CAD","BMI",44,0.017177093504154,0.272011023113995,0.949979247758976,0.386980879552735,1.29633992655145e-43,7.37436773344145
"ApoB_CAD_full","CAD","SBP",44,0.0492209739310561,0.0106095623936494,4.06869457341788e-05,0.0335822023384555,9.10387214077985e-45,7.60899170427461
"ApoB_HDL_TG","CAD","ApoB",124,0.29212680276374,0.0684130106599469,3.91038333441308e-05,0.45189940799237,2.05157084933565e-19,57.662791404054
"ApoB_HDL_TG","CAD","HDL",124,-0.0764077324739629,0.0698143407605127,0.275935115632112,-0.30532568664138,7.44366932306188e-30,85.2549299716231
"ApoB_HDL_TG","CAD","TG",124,0.191392514970356,0.0915925807703447,0.0387479781952378,0.392733726954263,6.19657923299496e-37,66.3811504822541
"ApoB_LDL","CAD","ApoB",124,0.0492370738295247,0.179431875439768,0.784237205140288,0.45189940799237,2.05157084933565e-19,9.62465085616438
"ApoB_LDL","CAD","LDL",124,0.345972940178219,0.187321395946043,0.0671776564944406,0.510856329399863,3.09304327312795e-53,16.019856577134
"LDL_HDL_TG","CAD","LDL",124,0.350069312610269,0.0691077918061769,1.47757863341261e-06,0.510856329399863,3.09304327312795e-53,132.301798812903
"LDL_HDL_TG","CAD","HDL",124,-0.119247400503274,0.0685415295670333,0.0844398201134629,-0.30532568664138,7.44366932306188e-30,88.7603730677765
"LDL_HDL_TG","CAD","TG",124,0.165509963300724,0.0897843287531492,0.0677151206094022,0.392733726954263,6.19657923299496e-37,64.0635326285591
