"model","outcome","exposure","nsnp","ivw_b","ivw_p","egger_b","egger_p","egger_intercept","egger_intercept_p","qhet_b"
"CAD_BMI_T2D","CAD","BMI",287,0.191096936641241,0.030186580551587,0.38622936749325,0.00433297693509279,-0.00354675895535307,0.0568375642766147,0.226697240586498
"CAD_BMI_T2D","CAD","T2D",287,0.162027426906759,1.62956519317217e-05,0.15267010047944,5.07274984833755e-05,-0.00354675895535307,0.0568375642766147,0.149655050049898
"CAD_full","CAD","BMI",286,0.240168403383287,0.00559842509525018,0.386031791213564,0.00344889015281121,-0.00267300549516266,0.140910391024383,0.282313442037276
"CAD_full","CAD","T2D",286,0.136311189273809,0.000219103492506411,0.129831692878358,0.000454456128021861,-0.00267300549516266,0.140910391024383,0.129954709102622
"CAD_full","CAD","LDL",286,0.317281509961323,0.00557113645125082,0.301091415382188,0.00864977231392544,-0.00267300549516266,0.140910391024383,0.395932398623542
"CAD_full","CAD","SBP",286,0.0257905253403815,0.000186006470229152,0.0251998635229197,0.000257338762173942,-0.00267300549516266,0.140910391024383,0.027099426184056
"HF_via_CAD","HF","BMI",285,0.415142059892833,1.28548694443264e-31,0.449895299721902,4.77864488442562e-18,-0.000626654766006591,0.34935609282899,0.413660697782675
"HF_via_CAD","HF","T2D",285,0.0112239172388246,0.40561109155181,0.00994633223889851,0.463449357734952,-0.000626654766006591,0.34935609282899,0.0123810278720531
"HF_via_CAD","HF","CAD",285,0.277573924793811,4.26693877867241e-30,0.275650282207179,1.50367766412369e-29,-0.000626654766006591,0.34935609282899,0.297839563994583
"Stroke_full","Stroke","SBP",315,0.0275478419076352,1.45239883929202e-15,0.0263620247830221,4.29734564227731e-09,0.000319334638213135,0.680455650439361,0.0269648895733893
"Stroke_full","Stroke","BMI",315,0.162227440420557,6.40775815846543e-05,0.162983831357156,6.176553687538e-05,0.000319334638213135,0.680455650439361,0.17164695605959
"Stroke_full","Stroke","LDL",315,0.0544031478456099,0.332035696973774,0.0512466037637,0.365880339269971,0.000319334638213135,0.680455650439361,0.023138420213546
