"exposure","outcome","nsnp","ivw_b","ivw_se","ivw_p","egger_b","egger_p","egger_intercept","egger_intercept_p","wm_b","wm_p","Q","Q_p","steiger_correct","steiger_p"
"BMI","CAC",505,0.490984049468233,0.0674134424425269,3.26048412050568e-13,0.568960661195195,0.00164301609088008,-0.00135677904678126,0.639967617615447,0.443230065402929,6.21387024986602e-05,608.866302467395,0.000907693787497634,TRUE,2.24857591415707e-22
"CAC","CAD",5,0.380237759102628,0.0807841787662319,2.51593008599215e-06,0.316881402986252,0.339179363469478,0.0140656191465332,0.825606624443647,0.249004034828678,7.31500870749399e-12,120.271686249638,4.67337974813639e-25,TRUE,1.51789517206061e-33
"CAC","HF",5,0.0438627539376252,0.0175392449929843,0.0123900965329486,0.0718664559071351,0.282067243478137,-0.00648612065067235,0.623987766495919,0.0403216007949454,0.039328827623099,5.50615214286671,0.239189230243255,TRUE,2.27109558642057e-55
"CAC","Stroke",4,-0.028030201410366,0.0204076400580565,0.169592275793966,0.0384496747461748,0.599233613176209,-0.0155812980024933,0.374964032272718,-0.0327640761757941,0.19106935732257,1.97966346789877,0.576638339326116,TRUE,4.70170177821637e-50
"CAD","CAC",173,0.972353700877683,0.0516597782129868,4.96235221799153e-79,1.11457051510626,3.07735142225278e-20,-0.00850660156799006,0.127084198585629,0.942404325329421,2.44423159329875e-43,369.617104747477,1.67582958685219e-16,FALSE,2.0628988233318e-65
"eGFR","CAC",334,0.790612791647081,0.511713764738494,0.122339161290596,1.69001886049907,0.136853952737258,-0.0030944627455775,0.374376174338182,1.28459562757615,0.0786000131166351,496.725729123624,1.4034889489802e-08,TRUE,1.18410312772958e-06
"HbA1c","CAC",310,0.132219463494071,0.0606910996585353,0.0293640501199294,0.21907702180243,0.0454054342066081,-0.00292128202569765,0.338413953391348,0.227596938729588,0.011890680848442,453.249985803584,1.59139742054884e-07,TRUE,0
"HDL","CAC",472,-0.255781503904715,0.0588117716950429,1.36663171429276e-05,-0.150150197456092,0.0923265279100926,-0.00322452336131228,0.115068804293772,-0.19095585084976,0.036421626074794,651.119621559724,6.67317572269735e-08,TRUE,1.06437933207617e-33
"HF","CAC",46,0.770121282598719,0.201501341821993,0.000132418585629059,1.6560633007153,0.0108333136294433,-0.037822688166173,0.140187045244487,0.321640493978959,0.0356311071210397,236.207027013484,9.35735795997562e-28,FALSE,1.5736023931681e-30
"LDL","CAC",368,0.560617320712527,0.0686127369119814,3.06485526687442e-16,0.712143394566474,5.55579812626984e-11,-0.00505278055111368,0.0596326232533908,0.676436856591243,2.44031203968747e-12,582.981958374498,4.6818404289686e-12,TRUE,1.32623917776083e-17
"SBP","CAC",434,0.0209157572129836,0.00506259695816459,3.60515876218431e-05,0.0163574107790193,0.20995577132896,0.00150111250661517,0.70428209682527,0.0233050676229787,0.000156936490395741,830.3630772007,2.52024471116162e-27,TRUE,0.000173782678666882
"Stroke","CAC",23,0.767632202453501,0.282917523190426,0.00666223907789341,-1.86629064979884,0.16470375005048,0.143181086795333,0.0504415351132385,0.386690116011077,0.00765365498139785,200.364619097121,9.65321107775264e-31,FALSE,6.60809345881734e-32
"T2D","CAC",116,0.111743629215048,0.0418425650235369,0.00757218784315788,0.0537212829702518,0.571970766797817,0.00471633648138929,0.496221693508928,0.0797953760052173,0.160008989757652,237.883682386407,1.39868344702067e-10,TRUE,0.00459198173207908
"TC","CAC",433,0.480248750623788,0.0593625167122398,5.96153197645337e-16,0.644424004836228,7.82272092092436e-12,-0.00528030503343883,0.0194725659443704,0.465980731830503,2.68814109400135e-08,584.005213066758,1.38436782167392e-06,TRUE,3.03647787454575e-27
"TG","CAC",442,0.401280614652738,0.0634785076065943,2.59003923641093e-10,0.349215886944542,0.000470330133486351,0.0014205073847504,0.494116742730242,0.429807563556958,6.23930952841397e-05,561.470428102368,8.54192296544987e-05,TRUE,6.45037169675063e-17
