"exposure","outcome","nsnp","ivw_b","ivw_se","ivw_p","egger_b","egger_p","egger_intercept","egger_intercept_p","wm_b","wm_p","Q","Q_p","steiger_correct","steiger_p"
"BMI","CKD",505,0.139929359243944,0.033510622375501,2.9710798607834e-05,0.109290269152154,0.220950764177232,0.000534803881193179,0.710946923445862,0.12225721025588,0.0270619845908093,679.33567251234,2.75523427418832e-07,TRUE,0
"CAD","CKD",174,0.0418153434689816,0.0250767116762107,0.0954156047718838,0.0559021629213544,0.266094000696313,-0.000871988181656122,0.745547253356245,0.042594233073734,0.214273989233107,408.291466673671,4.54192947575601e-21,TRUE,0
"CKD","CAD",23,0.0257524001527814,0.039774529058601,0.517334541865959,0.0851757178259921,0.40016065683016,-0.00560171190058234,0.519138877342951,0.0272321381849802,0.235149284166648,176.855475526941,3.57994434468536e-26,TRUE,9.63275516839898e-140
"CKD","HF",22,0.00439421548022737,0.020180975821609,0.827631317262167,0.0408039722432213,0.43667365177337,-0.00338886125673447,0.449462674698022,0.0152583275507813,0.474392864707294,45.8622737406763,0.0013327815730503,TRUE,1.38109454987171e-196
"CKD","Stroke",21,0.0236079497819074,0.0244258579426647,0.33378671487316,-0.0365548074160024,0.557529910970501,0.00562571478649805,0.297652383728291,0.00258934855920644,0.9260729921088,32.3903129325713,0.0393127918341159,TRUE,1.5151050663762e-183
"HbA1c","CKD",310,0.025215473295705,0.030711462519072,0.411620997150207,0.00837360837912375,0.87908899867293,0.00056861674970189,0.712107446727558,-0.0146830595422999,0.723740135179816,523.776377691733,2.66753101211182e-13,TRUE,0
"HDL","CKD",498,-0.100048850115305,0.0307224126520655,0.00112777947209811,-0.0105925285945653,0.814976541005201,-0.00289276379691286,0.00761535191940529,-0.0331903735174364,0.426549703790506,918.453406256811,1.69043073802963e-27,TRUE,0
"HF","CKD",46,0.136406494271991,0.0621322657793742,0.0281333968542712,0.225044434406763,0.252301060105179,-0.00380786483348837,0.631650166440703,0.182694680142499,0.00690910518658748,99.9691160878834,4.71919558321242e-06,TRUE,3.05320346630796e-34
"LDL","CKD",390,-0.0407349589915637,0.0322785908549499,0.206955727802484,-0.0114058667978859,0.810126209134969,-0.0010885231160977,0.399249516804984,-0.0275420945730977,0.519477417154507,706.316927691487,1.04598570618026e-20,TRUE,0
"SBP","CKD",437,0.0145475814421114,0.00296116563501828,8.97899711259899e-07,0.0168987824062346,0.0260506181825542,-0.000777298487844319,0.735764346396512,0.0150258438011226,2.60180736066547e-07,1302.05950401787,4.47704153767916e-87,TRUE,0
"T2D","CKD",116,0.0184157781841911,0.0176404042168697,0.296506472180523,0.00211236085195467,0.959084390734916,0.00131001644139488,0.660952867510949,-0.00384686505462919,0.878262410823468,195.022641738525,4.6480574635959e-06,TRUE,0
"TC","CKD",462,-0.0743363691729044,0.0310210631797376,0.0165606615638579,-0.0331350677094333,0.479020426039322,-0.00140477227232932,0.239923851623384,-0.0578342920408837,0.186908247879431,826.41143632231,3.95998762261662e-23,TRUE,0
"TG","CKD",465,0.0991702162337866,0.0353626912327539,0.00504143687548779,0.00916846296854487,0.864423978289727,0.00255317574631939,0.0267426902513351,0.00882524410876753,0.87022010180307,869.488486710478,4.99324972490485e-27,TRUE,0
