exposure,outcome,nsnp,ivw_b,ivw_se,ivw_p,steiger
BMI,CAD,94,0.29017610411107825,0.12233459912001622,0.017692703288425465,TRUE
BMI,HF,95,0.490681225852874,0.06256653929452433,4.4148710892739345e-15,TRUE
BMI,Stroke,96,0.1388422341743771,0.05492541587826785,0.011476919420246855,TRUE
BMI,T2D,97,0.4516331726108028,0.5718827804957007,0.4296852788653019,TRUE
HDL,CAD,96,-0.11716178854518672,0.03329202410485572,0.0004328258942346538,TRUE
HDL,HF,98,-0.03929834817475114,0.030265213308455278,0.19412727836159868,TRUE
HDL,Stroke,100,-0.024901120315086737,0.037826207831983046,0.5103432091288758,TRUE
HDL,T2D,100,-0.05314485585244058,0.03593087773270926,0.1391173490447864,TRUE
HbA1c,CAD,53,0.03793945183096759,0.03835075037588891,0.3225284431739096,TRUE
HbA1c,HF,56,-0.12481807373277147,0.06023024296704477,0.03823292140071205,TRUE
HbA1c,Stroke,55,-0.020617790227502732,0.03872341658741178,0.5944231774871098,TRUE
HbA1c,T2D,55,1.2990500482556795,0.19398626400624974,2.13312208211733e-11,TRUE
LDL,CAD,72,0.4397963092080158,0.06615202598957069,2.9656465312164786e-11,TRUE
LDL,HF,75,0.0007466584703510646,0.037266815301800496,0.9840150706266537,TRUE
LDL,Stroke,75,-0.0032799508929769205,0.04310205391433742,0.9393416703782821,TRUE
LDL,T2D,77,-0.06071905003269851,0.03369879975064369,0.07157429668886166,TRUE
SBP,CAD,49,0.6464318758497689,0.10934805169950178,3.386136395573552e-09,TRUE
SBP,HF,49,0.659483194526311,0.19961433685833052,0.0009538837278805088,TRUE
SBP,Stroke,50,0.9964515927954132,0.11012305279596865,1.4490772236840955e-19,TRUE
SBP,T2D,51,-0.0756924774698239,0.07711907975480425,0.32634559086389536,TRUE
T2D,BMI,183,-0.07098156687770574,0.026073107382442277,0.006480859637042174,TRUE
T2D,HDL,182,0.008501362227833627,0.025588539621595737,0.7397131813327087,TRUE
T2D,HbA1c,182,0.3511085920742198,0.015813222602815074,3.1785525845760765e-109,FALSE
T2D,LDL,182,0.012303672588276568,0.006428245426418287,0.05561994024262865,TRUE
T2D,TC,182,0.00965084566628384,0.006562180361823493,0.14137857415527458,TRUE
T2D,TG,182,0.0035899811093181707,0.021948860702150286,0.8700766229604672,TRUE
TC,CAD,112,0.44596988966924817,0.12117898012644923,0.00023299825234051344,TRUE
TC,HF,114,-0.01705275992716272,0.04130188467702268,0.6796938646653148,TRUE
TC,Stroke,112,-0.004552359031808889,0.03359155331939179,0.8922000057269267,TRUE
TC,T2D,115,-0.08797464536812326,0.03251637290064085,0.006819155438062178,TRUE
TG,CAD,79,0.14907376811640735,0.07495687493500548,0.046723967441144224,TRUE
TG,HF,82,0.009521890140934568,0.032388869201466844,0.7687682228761413,TRUE
TG,Stroke,82,0.02672845946595518,0.03139209816044096,0.3945254855697751,TRUE
TG,T2D,83,-0.03733204739684432,0.043175438563250235,0.3872257774198839,TRUE
