"exposure","outcome","nsnp","ivw_b","ivw_se","ivw_p","egger_b","egger_intercept","egger_intercept_p","wm_b","Q","Q_p"
"BMI","niHF",502,0.554802388368986,0.0287989202411001,1.06291650013385e-82,0.534551663973624,0.000355712291640918,0.773481372342472,0.5031988653903,681.853359940817,1.21796549907647e-07
"BMI","niHFpEF",503,0.770708146787316,0.0853944459406059,1.79248651642225e-19,0.672290720509435,0.00173021680534818,0.638616348433509,0.770369219963943,533.770732832774,0.157881209386405
"BMI","niHFrEF",503,0.536101109468216,0.0788630459663825,1.06173690287998e-11,0.370053345695977,0.00291321216561046,0.391142366555124,0.500286840043832,618.278322054532,0.000290782092675148
"CAD","niHF",170,0.0479433306979959,0.0186458097817557,0.0101327560493892,0.00586018814250312,0.00263719303099323,0.189837435680937,0.0348663861252356,297.05994012994,4.30388995933738e-09
"CAD","niHFpEF",167,0.0365828217095346,0.0518210295073172,0.480222041041327,-0.0394617435093624,0.00484127427574743,0.389108762479105,-0.0402168608580124,205.843681548895,0.0192869287816307
"CAD","niHFrEF",170,0.0126364483211091,0.0454962757790642,0.781206676365837,-0.0675701570652021,0.00505755377220759,0.302018414108937,0.0345676977025862,216.845509069548,0.0076263830884391
"HbA1c","niHF",315,-0.01816909885064,0.0250788183461517,0.468771186140381,-0.0707627588732925,0.00184857117079651,0.139457073474445,-0.0565602960152252,514.113716550583,7.11172988416722e-12
"HbA1c","niHFpEF",298,-0.159132798172977,0.0666268923087524,0.0169211327928862,-0.193181593426406,0.00121601210112182,0.717418986730827,-0.163950346200188,277.95642789295,0.779710064267481
"HbA1c","niHFrEF",312,-0.00556703897560745,0.062141391020116,0.92861569442562,-0.176158264980264,0.00603551945112327,0.0516806089076506,-0.129057877588208,373.016587050025,0.00902532706774964
"LDL","niHF",371,-0.014878938207146,0.0255787076529902,0.560773934723774,-0.000263759385864285,-0.000539013347744638,0.594843996842399,0.0339852114508818,566.494053928176,1.93034583670352e-10
"LDL","niHFpEF",360,0.00867276236841512,0.0726368816182418,0.904959347962729,0.103068185252247,-0.00328813365195131,0.252745488168546,-0.00129321944495309,364.11164473158,0.41499255638892
"LDL","niHFrEF",366,-0.0808176537557976,0.0664075669822607,0.223606251296524,-0.00364439991892926,-0.00274660718066444,0.294368585263356,0.0696712226747969,432.786267800072,0.00836004215752295
"SBP","niHF",431,0.0164850061086088,0.0019714974034411,6.18378294392209e-17,0.0169892657770737,-0.000168485876094073,0.91216102693903,0.0157992883702685,778.125702197531,2.02424265108399e-22
"SBP","niHFpEF",431,0.0166278164200742,0.00515798726850264,0.00126544794350569,0.0145311248937053,0.000702554665382833,0.860601589603629,0.0168098877832642,470.734438859523,0.0853422887127652
"SBP","niHFrEF",431,0.0296701050147357,0.00500691794639118,3.10738852492709e-09,0.0205959408258324,0.00302485713795354,0.436091466690712,0.0355749607389496,603.693343121782,5.95553979132073e-08
"T2D","niHF",115,-0.00650960245570906,0.0170794450840392,0.703101854604897,-0.0886647499722064,0.00665961902696911,0.0175770483324225,-0.0463209206309571,242.045542838372,3.1156407297508e-11
"T2D","niHFpEF",115,-0.0325344442357949,0.0392340898518971,0.406969082457602,-0.0503241390430595,0.00146246027223324,0.817963563857703,0.0299716232169056,104.231428338311,0.732998701347633
"T2D","niHFrEF",115,0.0295980628515182,0.0402208410043334,0.461798427835324,-0.203758248965576,0.0190144018327276,0.00323088116291212,-0.113337299067805,161.79443515931,0.00218663693566985
"TC","niHF",443,-0.0328723450829918,0.0246964364599418,0.183170516633756,0.0350935702803941,-0.0023168809335429,0.014716128247377,0.00839487638545537,676.383785462126,4.28988537101797e-12
"TC","niHFpEF",420,0.0748879591270716,0.0685247626780022,0.274455356449848,0.184259973813921,-0.00363341311877257,0.166946851690364,0.182262806459928,411.966959766553,0.587555209372819
"TC","niHFrEF",431,-0.0947458213218877,0.0627375581837274,0.130994183863991,-0.0181043676833488,-0.00256702655589282,0.284770027114979,-0.0289734845944009,497.163981118903,0.013787080428649
"TG","niHF",445,-0.0418676647335164,0.0296742351233583,0.158271255979542,-0.108324203097711,0.00189297816106521,0.0544682096426927,-0.074690805075229,804.956985868883,3.11861625647221e-23
"TG","niHFpEF",437,-0.136274059859771,0.0768509052947659,0.0761911868068978,-0.22036552412608,0.0023704131623296,0.34975557387747,-0.135765778224817,455.412005758551,0.251314394496162
"TG","niHFrEF",443,-0.000641682933048358,0.0738522735763356,0.993067478650785,0.0806538158923844,-0.00228043548411216,0.349901276222604,0.000551073559035985,583.781493385611,6.53631955450393e-06
