exposure,outcome,nsnp,ivw_b,ivw_se,ivw_p,fdr,tier,stage_dir,steiger,egger_int_p
LDL,TC,532,0.9086,0.0126661185989842,0.00e+00,0,1-Bonferroni,same-stage,TRUE,5.09560386955976e-07
TC,LDL,563,0.9344,0.0138883832703703,0.00e+00,0,1-Bonferroni,same-stage,TRUE,0.00420024298466922
BMI,HF,501,0.5246,0.0198987598338068,3.38e-153,1.25e-151,1-Bonferroni,forward,TRUE,0.338120568317605
CAD,HF,171,0.2851,0.0122601074227689,1.22e-119,3.38e-118,1-Bonferroni,same-stage,TRUE,0.526820020792162
T2D,HbA1c,110,0.2793,0.0147587936486485,7.08e-80,1.57e-78,Steiger-fail,same-stage,FALSE,0.787939821387835
HDL,TG,578,-0.5121,0.027076651445031,9.13e-80,1.69e-78,1-Bonferroni,same-stage,TRUE,0.604425568290746
TG,HDL,531,-0.5979,0.0352505544286334,1.58e-64,2.51e-63,1-Bonferroni,same-stage,TRUE,0.569249448004395
BMI,HDL,505,-0.2752,0.0168547947598807,6.44e-60,8.93e-59,1-Bonferroni,forward,TRUE,0.430462199705923
BMI,T2D,463,0.9903,0.0631954506060068,2.41e-55,2.97e-54,1-Bonferroni,forward,TRUE,0.766625596367752
LDL,CAD,483,0.5109,0.0332615007626198,3.09e-53,3.43e-52,1-Bonferroni,forward,TRUE,0.0177294640161602
SBP,Stroke,434,0.0269,0.0017764284206904,1.16e-51,1.17e-50,1-Bonferroni,forward,TRUE,0.0710899321370686
SBP,CAD,436,0.0336,0.00239220730748779,9.10e-45,8.42e-44,1-Bonferroni,forward,TRUE,0.889854035907169
TC,CAD,534,0.4340,0.0311829929092593,4.91e-44,4.2e-43,1-Bonferroni,forward,TRUE,0.000293008400345971
BMI,CAD,504,0.3870,0.0279435910765911,1.30e-43,1.03e-42,1-Bonferroni,forward,TRUE,0.635915588004203
TG,TC,531,0.3470,0.0264730530693773,2.92e-39,2.16e-38,1-Bonferroni,same-stage,TRUE,0.848186915869432
SBP,HF,431,0.0199,0.00155367097676527,1.70e-37,1.18e-36,1-Bonferroni,forward,TRUE,0.893530449099012
TG,CAD,513,0.3927,0.0309328469782367,6.20e-37,4.05e-36,1-Bonferroni,forward,TRUE,0.000166231282402315
TC,TG,563,0.3183,0.0268404915277589,1.98e-32,1.22e-31,1-Bonferroni,same-stage,TRUE,0.892709789443185
HDL,CAD,557,-0.3053,0.0269017058079595,7.44e-30,4.35e-29,1-Bonferroni,forward,TRUE,0.000652641629902097
BMI,HbA1c,453,0.2251,0.0200560723326648,3.20e-29,1.77e-28,1-Bonferroni,forward,TRUE,0.119418675698664
HbA1c,T2D,198,1.0610,0.0956453886252397,1.35e-28,7.15e-28,1-Bonferroni,same-stage,TRUE,0.0173688263838207
TG,LDL,531,0.2768,0.0254918250102212,1.79e-27,9.04e-27,1-Bonferroni,same-stage,TRUE,0.588315092983888
BMI,TG,505,0.2051,0.0203341602767924,6.49e-24,3.13e-23,1-Bonferroni,forward,TRUE,0.475768761294464
HbA1c,LDL,342,0.1310,0.0143412263458193,6.72e-20,3.11e-19,1-Bonferroni,same-stage,TRUE,0.516234141794188
HbA1c,TC,342,0.1338,0.0147555447393868,1.20e-19,5.33e-19,1-Bonferroni,same-stage,TRUE,0.664498793218402
CAD,Stroke,168,0.1711,0.0204325440654845,5.52e-17,2.36e-16,1-Bonferroni,same-stage,TRUE,0.0265112759875333
HDL,T2D,306,-0.4875,0.0587572318083835,1.06e-16,4.37e-16,1-Bonferroni,same-stage,TRUE,1.69171044200267e-10
TG,T2D,296,0.5943,0.0799444438233497,1.05e-13,4.18e-13,1-Bonferroni,same-stage,TRUE,1.38273543490942e-15
HbA1c,CAD,336,0.1838,0.0250328855969299,2.12e-13,8.11e-13,1-Bonferroni,forward,TRUE,0.0611448663263624
LDL,TG,532,0.2169,0.0303035876822929,8.19e-13,3.03e-12,1-Bonferroni,same-stage,TRUE,0.00164155137834665
T2D,Stroke,116,0.0805,0.0128627691683115,3.91e-10,1.4e-09,1-Bonferroni,forward,TRUE,0.0383471398417918
TC,HDL,565,0.2152,0.0347328216828933,5.77e-10,2e-09,1-Bonferroni,same-stage,TRUE,0.0243281770089107
HDL,HF,476,-0.1235,0.0202228993667215,1.03e-09,3.46e-09,1-Bonferroni,forward,TRUE,1.84331700055238e-06
BMI,Stroke,504,0.1513,0.0249397594549907,1.30e-09,4.24e-09,1-Bonferroni,forward,TRUE,0.651623393047552
HF,Stroke,45,0.3781,0.063136009227356,2.12e-09,6.72e-09,1-Bonferroni,same-stage,TRUE,0.127570096557993
LDL,HF,379,0.1215,0.0203273909579362,2.29e-09,7.07e-09,1-Bonferroni,forward,TRUE,0.0694710806898399
T2D,CAD,116,0.1290,0.02209901768047,5.34e-09,1.6e-08,1-Bonferroni,forward,TRUE,0.0378993232639991
HDL,TC,578,0.1554,0.0274243997795388,1.46e-08,4.27e-08,1-Bonferroni,same-stage,TRUE,0.0231587002590661
SBP,T2D,334,0.0172,0.00309660499642238,2.96e-08,8.42e-08,1-Bonferroni,same-stage,TRUE,0.00223714434819301
HF,CAD,45,0.8069,0.149434982613516,6.68e-08,1.85e-07,Steiger-fail,same-stage,FALSE,0.0231727668835403
HbA1c,Stroke,289,0.1128,0.022451044044702,5.07e-07,1.37e-06,1-Bonferroni,forward,TRUE,0.012251536217443
CAD,LDL,175,0.2462,0.0499861356241196,8.42e-07,2.23e-06,Steiger-fail,backward,FALSE,0.00311214998723989
CAD,T2D,128,0.1675,0.0348757718447547,1.56e-06,4.02e-06,1-Bonferroni,backward,TRUE,0.00329474978724928
CAD,TC,174,0.1941,0.0411693356330098,2.43e-06,6.13e-06,Steiger-fail,backward,FALSE,0.00354740374556652
TC,eGFR,458,0.0087,0.00188375133235122,4.12e-06,1.02e-05,1-Bonferroni,same-stage,TRUE,0.401144757018546
TG,HF,446,0.1091,0.0237488240158474,4.32e-06,1.04e-05,1-Bonferroni,forward,TRUE,0.0122800017502182
HDL,Stroke,448,-0.0999,0.0217748757901579,4.50e-06,1.06e-05,1-Bonferroni,forward,TRUE,0.000203110192781841
TC,HF,445,0.0895,0.0203122707144017,1.04e-05,2.41e-05,1-Bonferroni,forward,TRUE,0.000698165091778376
T2D,HDL,116,-0.0714,0.0170076297630224,2.72e-05,6.16e-05,1-Bonferroni,same-stage,TRUE,0.00886959206008149
TG,HbA1c,428,0.1023,0.0250734812484998,4.51e-05,0.0001,Steiger-fail,same-stage,FALSE,2.28343774325593e-14
T2D,HF,115,0.0525,0.0131062373257923,6.26e-05,0.000136,1-Bonferroni,forward,TRUE,0.000424685666221914
TG,Stroke,430,0.0974,0.0244429269292123,6.71e-05,0.000143,1-Bonferroni,forward,TRUE,0.047456015460729
LDL,eGFR,381,0.0079,0.00209836776771257,1.64e-04,0.000343,1-Bonferroni,same-stage,TRUE,0.852374450170484
HbA1c,TG,342,0.0687,0.0192246247274876,3.52e-04,0.000724,1-Bonferroni,same-stage,TRUE,0.00697392612075354
HF,T2D,33,0.4217,0.118951449753433,3.93e-04,0.000792,1-Bonferroni,backward,TRUE,0.923857170026173
eGFR,BMI,127,-0.5182,0.153478067060791,7.35e-04,0.00146,2-FDR05,backward,TRUE,0.221906217555092
HF,HDL,45,-0.1185,0.0366681656487524,1.23e-03,0.00239,Steiger-fail,backward,FALSE,0.0175347772802964
LDL,Stroke,356,0.0700,0.0226557874494584,2.00e-03,0.00383,2-FDR05,forward,TRUE,0.850010052027141
CAD,HDL,174,-0.1050,0.0349540810175797,2.66e-03,0.00501,2-FDR05,backward,TRUE,0.0822026065397789
