"exposure","outcome","nsnp","ivw_b","ivw_se","ivw_p","egger_b","egger_intercept","egger_intercept_p","wm_b","Q","Q_p","steiger_correct","steiger_p"
"BMI","CAD",35,0.406874291192477,0.0860480579756094,2.26235772504814e-06,0.20976432313046,0.00613922037392289,0.458618460489336,0.346086468545585,39.5061350704174,0.23740988672382,TRUE,7.12360435532822e-193
"BMI","CKD",35,0.569108823436355,0.0711896590311815,1.30351743520952e-15,0.65045385254383,-0.00254786579018408,0.704805273079583,0.527623973362064,30.827670757487,0.623908878239457,TRUE,1.17570869816245e-180
"BMI","HF",35,0.588479669778105,0.115533186151384,3.51330287814737e-07,0.151431679694275,0.0136314087683308,0.210029548553187,0.463098364365458,37.9256591164827,0.294913407380227,TRUE,2.15012500178976e-193
"BMI","Stroke",35,0.0933327653346977,0.103634172042757,0.367801907138889,0.159278136924114,-0.00206525160048272,0.832805759053151,0.140471817431446,31.3964395247017,0.5958756624312,TRUE,6.8301738294668e-214
"BMI","T2D",35,0.992463517930862,0.0629910355560428,6.28290211180247e-56,0.930662059878391,0.00194310042068338,0.744578966243806,0.939868095036606,45.4658016511842,0.0904429298440503,TRUE,1.50836079940264e-114
"HbA1c","CAD",32,0.0215274473978617,0.0481211080468554,0.654615324391954,-0.136888927332556,0.0089925432100779,0.0990299344146029,-0.018051675148792,28.8741092660896,0.575789863272973,TRUE,0
"HbA1c","CKD",32,0.140075081058349,0.0466959831018211,0.00270223968674298,0.0582157035443684,0.00463440349083549,0.372684733625239,0.0921676131932529,36.9269741525593,0.213885721226219,TRUE,0
"HbA1c","HF",32,-0.0591669109690262,0.0666243953554871,0.374504841087132,-0.144571917602348,0.00482612658578942,0.507366609102275,-0.0412933896874217,24.316657743479,0.797412940023086,TRUE,0
"HbA1c","Stroke",32,-0.00365854919404751,0.0634161694701616,0.953994675279381,-0.0492642306473174,0.00259411213687996,0.711233789119426,-0.0422973679742164,26.1121321174343,0.71593383292965,TRUE,0
"HbA1c","T2D",32,1.12271734968523,0.170374628539006,4.40722107438116e-11,0.668603896565298,0.0254814333068911,0.178121964650301,0.332618418398907,832.32002187782,5.41758918982047e-155,TRUE,5.26311160141927e-138
"HDL","CAD",53,-0.0905202779189362,0.0470557075503952,0.0543942948702086,-0.0678795019950101,-0.00166268426036351,0.716356820362294,-0.0493526130385521,87.0744475375844,0.00165341094576313,TRUE,0
"HDL","CKD",53,-0.115091585290738,0.0370324573869396,0.00188449169768055,-0.127913759162587,0.000889510660703365,0.803810810883623,-0.171182989782863,63.7508239560944,0.127214653913359,TRUE,0
"HDL","HF",53,-0.082474491126671,0.0495410115904856,0.0959582433708021,-0.0151934897007959,-0.00492158352994618,0.304460242499577,-0.0750293562647033,50.353935053511,0.538851367283935,TRUE,0
"HDL","Stroke",53,-0.0721092474429284,0.0530381761301528,0.173965235114601,0.0483461160075253,-0.00884576314886295,0.0843892084260219,-0.0753413701749842,64.6771147313292,0.111501281495534,TRUE,0
"HDL","T2D",53,-0.0852517608132055,0.0508178148757875,0.0934260024903198,0.0587582637717655,-0.0106544920174209,0.0282058960872642,0.00541998139272098,229.409690610837,3.87857629861007e-24,TRUE,0
"LDL","CAD",50,0.389510213153232,0.0464734855002642,5.23272546830536e-17,0.413312951241036,-0.0019528549252242,0.631588418536921,0.283355039826846,64.4710465821718,0.0682374297887616,TRUE,0
"LDL","CKD",50,-0.0688896917668951,0.0423474491749192,0.103785293795217,-0.111316937309104,0.00338857192710033,0.361097083377138,-0.132865419111691,67.9079652,0.038065947146063,TRUE,0
"LDL","HF",50,0.0196998236067297,0.0606989634192535,0.745521985838973,-0.02403345858417,0.00366506193126425,0.494934077273179,-0.158059669759646,63.4307044002104,0.0806103103013086,TRUE,0
"LDL","Stroke",50,0.0347266549156605,0.0512416802750212,0.497959844854517,0.0445335821739646,-0.000821255851076738,0.855609475181049,-0.00337472236115256,43.5512717266915,0.692935782318888,TRUE,0
"LDL","T2D",50,-0.0649609887258478,0.0405445574774755,0.109108670848164,-0.0753286278629048,0.000881959620740131,0.806430192063949,-0.000986659422955677,117.17698410728,1.63565343072116e-07,TRUE,0
"SBP","CAD",29,0.682824787920749,0.124934701846918,4.61725145800786e-08,0.739386191426022,-0.00152106172198563,0.908476643048665,0.76877793002947,46.7035118381153,0.0147201833844956,TRUE,1.13447797301004e-127
"SBP","CKD",29,0.273118878118664,0.144028935284515,0.057923315102675,-0.566891179254936,0.0226686440483011,0.127269821636153,0.236692189010264,80.5347901505732,5.5548617020839e-07,TRUE,5.66746517721102e-131
"SBP","HF",29,0.457680861446105,0.139045243452763,0.000996203690109996,1.03740998738633,-0.0156324341959977,0.281129630643815,0.568539043333411,31.6477587988987,0.289080698226394,TRUE,5.9116728911402e-151
"SBP","Stroke",29,1.01359559119297,0.144854115950973,2.60840827132214e-12,1.6868643442368,-0.0181097578521265,0.230764559265668,1.10741355554925,35.2087789261597,0.163871238340371,TRUE,6.51691414651243e-126
"SBP","T2D",29,-0.0750619182683892,0.118057765253889,0.524902419228637,-0.230721631179898,0.00421814484904905,0.731395157193262,-0.170181270382083,98.0989717061472,1.02741851419402e-09,TRUE,4.72196173288917e-131
"Stroke","BMI",4,0.0135601509449454,0.0145116747323836,0.350081889769482,-0.000428178890919456,0.00411844657567264,0.536030999696328,0.00227794839334351,2.67790264406584,0.443995579406714,TRUE,1.09619464614334e-13
"Stroke","HbA1c",4,0.0332284474658003,0.0230353775865037,0.149162408168533,0.0725691040725694,-0.0116781855978357,0.262881548710102,0.0401535671055916,3.94587841266133,0.2673679009694,TRUE,4.79455081355641e-06
"Stroke","HDL",4,0.00477763492718615,0.0163739717813538,0.770453089443058,-0.00530393902052817,0.00297879763432485,0.675325776589356,0.003675766372292,1.00160225182502,0.800864258949114,TRUE,4.7859840002443e-13
"Stroke","LDL",4,0.0104360980782794,0.0152663381338142,0.49422657117423,0.0270567965725293,-0.00491343567037029,0.480917408454448,0.0132934746089143,1.07718067291685,0.782585418339061,TRUE,6.4751621592387e-14
"Stroke","SBP",4,-0.00188265875362598,0.0138369341064801,0.891773534598782,-0.0303742970788365,0.00841312725426215,0.245744712218308,-0.0123658352613918,2.78258923128831,0.426374065132134,TRUE,1.72231417193615e-14
"Stroke","TC",4,0.0334112609287858,0.0153486923265155,0.029494386825861,0.0641901547455891,-0.00909408887149079,0.254504228189104,0.0420213954726567,2.60711357738487,0.456243809488525,TRUE,4.39755947816346e-10
"Stroke","TG",4,0.00968509198949006,0.0154344128403201,0.530331623965771,0.0185080754285877,-0.00260829972999315,0.696251699985858,0.0100937118436824,1.29053037138003,0.731382952542807,TRUE,1.60364613932009e-13
"T2D","BMI",56,-0.0455554182745269,0.0169227229734513,0.0071031891815979,-0.0889403950332694,0.0040256148662018,0.221905238148303,-0.0758570428167727,327.566437767938,2.01721688668241e-40,TRUE,5.24547419740415e-117
"T2D","HbA1c",56,0.36823608803885,0.0154601431444451,2.15267545430056e-125,0.378660337020771,-0.00096689560282342,0.749657714576114,0.384888966086419,139.948123639549,2.41683066478276e-09,FALSE,1.11436315666163e-09
