"exposure","outcome","shipped_b","shipped_p","base_nsnp","base_b","base_se","base_p","strict_nsnp","strict_b","strict_se","strict_p","sign_same","both_bonf"
"BMI","SBP",-0.577923773986728,0.0184496791198053,505,-0.577923773986728,0.245250044702535,0.0184496791198053,452,-0.523690132790663,0.256419112147004,0.0411197021859218,TRUE,TRUE
"TG","SBP",1.75137508160823,2.89740652392324e-10,416,1.75137508160823,0.277812119740021,2.89740652392324e-10,370,1.74180638015973,0.290860113651079,2.11827264679144e-09,TRUE,TRUE
"HDL","SBP",-0.916884441934444,0.000110125937111776,439,-0.916884441934444,0.237097175715179,0.000110125937111776,379,-0.85577037199283,0.258668418912006,0.000938413431377597,TRUE,FALSE
"TC","SBP",0.22976220795734,0.305868476236508,397,0.22976220795734,0.22439255914918,0.305868476236508,347,0.226003951977595,0.243570578457855,0.35347049378413,TRUE,TRUE
"LDL","SBP",0.30072003062741,0.211186012075837,336,0.30072003062741,0.240516210621825,0.211186012075837,296,0.301769134371069,0.256404636187977,0.239225274672551,TRUE,TRUE
"HbA1c","SBP",0.79805692025876,0.000455467954207925,281,0.79805692025876,0.227647793450566,0.000455467954207925,281,0.79805692025876,0.227647793450566,0.000455467954207925,TRUE,TRUE
"CAD","SBP",1.8193901415398,6.73860325496108e-10,167,1.8193901415398,0.294776201134203,6.73860325496108e-10,141,1.48120640718111,0.279087103287688,1.11244747341722e-07,TRUE,TRUE
"HF","SBP",1.55949241763721,0.0187609577198203,44,1.55949241763721,0.663544056705219,0.0187609577198203,38,1.9408797883599,0.705582993684553,0.00594596787521617,TRUE,TRUE
"T2D","SBP",0.755193908281537,2.29844014549497e-08,116,0.755193908281537,0.135148292509026,2.29844014549497e-08,110,0.735217689846047,0.137269114392153,8.5069721432959e-08,TRUE,TRUE
"eGFR","SBP",0.543016063430499,0.809841670096057,320,0.543016063430499,2.25664050172629,0.809841670096057,266,2.22479509375398,2.47351325078492,0.368414394463041,TRUE,TRUE
"Stroke","SBP",1.91753445107318,0.0539298280131062,23,1.91753445107318,0.994881538763664,0.0539298280131062,22,1.77224747898334,1.0277101267609,0.0846243998352496,TRUE,TRUE
