"exposure","outcome","nsnp","ivw_b","ivw_se","ivw_p","egger_b","egger_p","egger_intercept","egger_intercept_se","egger_intercept_p","wm_b","wm_p","Q","Q_p"
"BMI","SBP",452,-0.523690132790663,0.256419112147004,0.0411197021859218,-1.51121197571591,0.0242833946478281,0.0173695730612737,0.0108641362240688,0.110567070614923,-0.0343267182701139,0.863321810201694,3079.88646667894,0
"TG","SBP",370,1.74180638015973,0.290860113651079,2.11827264679144e-09,0.854953725552413,0.0587227454274082,0.0239920990899798,0.00936973518911238,0.010847616588885,1.09549336795512,1.57261555783973e-07,3750.81029047796,0
"HDL","SBP",379,-0.85577037199283,0.258668418912006,0.000938413431377597,-0.320637833983979,0.41081989225306,-0.0165719694605253,0.00903693969944954,0.0674713257192658,-0.38238101210026,0.0387571777148514,3792.64215135857,0
"TC","SBP",347,0.226003951977595,0.243570578457855,0.35347049378413,0.362954778087635,0.324150002160388,-0.00458623531841061,0.00921200792637658,0.618904111171792,0.459204145173333,0.00913741079758753,3057.20311248881,0
"LDL","SBP",296,0.301769134371069,0.256404636187977,0.239225274672551,0.34586549197449,0.372094000025542,-0.00153922695376259,0.0101007750479847,0.878986223215366,0.706538793357608,4.22148171260137e-05,2610.59838274774,0
"HbA1c","SBP",281,0.79805692025876,0.227647793450566,0.000455467954207925,0.172863595616078,0.668409313864761,0.021246270810855,0.0113305674358979,0.0618194834887662,0.739269109434964,2.57455508228448e-06,2423.00780882818,0
"CAD","SBP",141,1.48120640718111,0.279087103287688,1.11244747341722e-07,0.518654524359522,0.324469233536811,0.0621375073597676,0.0288127579958044,0.0327574075526573,0.588595816870618,8.28332030602528e-06,3500.20301806456,0
"HF","SBP",38,1.9408797883599,0.705582993684553,0.00594596787521617,-0.444616259433116,0.835841202965516,0.0997606316235013,0.084110736440275,0.243366679177171,0.751164029868015,0.00853985201647983,820.508006062627,2.51517821163254e-148
"T2D","SBP",110,0.735217689846047,0.137269114392153,8.5069721432959e-08,0.583527677481115,0.0642445766082674,0.0123992310408746,0.0228941734019432,0.589217257845636,0.639221103409586,3.72175911108103e-12,1017.68956478574,2.32194217989013e-147
"eGFR","SBP",266,2.22479509375398,2.47351325078492,0.368414394463041,0.814261653897059,0.879947542332222,0.00490399039119806,0.0166261570991294,0.768259054694029,1.92466384789406,0.313361941746775,3338.4766871676,0
"Stroke","SBP",22,1.77224747898334,1.0277101267609,0.0846243998352496,-5.63581877696413,0.259121476951053,0.401748237992373,0.257560074351789,0.134486049047939,-0.785742468171403,0.0176977051430462,1033.50001400942,2.03326484864011e-205
