exposure,outcome,nsnp,ivw_b,ivw_se,ivw_p,egger_b,egger_p,egger_intercept,egger_intercept_p,wm_b,wm_p,Q,Q_p,steiger_correct,steiger_p
BMI,CAD,503,0.42167954823159,0.0366842497482436,1.40041726863249e-30,0.569428168684668,7.90673883407824e-09,-0.00258841868854376,0.100594839646098,0.401067666360798,1.23614986871509e-14,798.426545655969,6.8903991424052e-16,TRUE,0
BMI,eGFR,477,-0.00259236220954414,0.00353851637404096,0.46379465282852,0.00617448667790901,0.512587241030918,-0.000153899877720915,0.315927809761208,0.00186697367081658,0.71020815382266,750.018808993595,1.37483749499201e-14,TRUE,0
BMI,HbA1c,453,0.225059907255927,0.0200560723326648,3.19674807566143e-29,0.149629119910464,0.00444229835242619,0.00132849830562739,0.119418675698664,0.226697465436043,1.03924229894419e-68,4262.18624866633,0,TRUE,7.944106396152e-17
BMI,HDL,505,-0.27517312545267,0.0168547947598807,6.43661206328049e-60,-0.308010028539251,2.03529492291636e-11,0.000573321451877913,0.430462199705923,-0.274837181558829,1.77879605933729e-173,7726.80050152787,0,TRUE,0
BMI,HF,505,0.522361130294578,0.0318474707403011,1.85148218772441e-60,0.700327970055185,1.14468916778299e-15,-0.00309870654839057,0.0237052661847439,0.563742108810964,1.21680288215146e-30,687.152554831498,9.48660793597319e-08,TRUE,0
BMI,LDL,505,-0.0212092096105021,0.022285045437939,0.34123704208085,-0.116035058249318,0.0507099023067324,0.00165558835665094,0.0847933830139269,-0.0121610442913547,0.144945218994221,13340.6713292208,0,TRUE,0
BMI,SBP,505,-0.577923773986728,0.245250044702535,0.0184496791198053,-1.37014554212561,0.0365193999052027,0.0137957799397768,0.191549459281135,-0.0594123207251648,0.759866338414658,3438.90193381118,0,TRUE,0
BMI,Stroke,495,0.202219657812579,0.0301034317803849,1.8487488272332e-11,0.239847185621013,0.0027659712446716,-0.00066096188500834,0.61053452217077,0.184256037573771,8.37840638696634e-05,712.404928218719,3.92307572394307e-10,TRUE,0
BMI,T2D,505,0.929119369836374,0.057848232789374,4.76254088438487e-58,0.993540413880743,3.26474025102802e-10,-0.00112096841338241,0.654049768730154,0.985975793512475,1.07463173347897e-93,2512.73789367915,2.7023325012664e-263,TRUE,0
BMI,TC,505,-0.0521557414170524,0.0214131811291346,0.014863665339257,-0.131503448792965,0.0213883278818729,0.00138517243884212,0.133546379185041,-0.0390423858016418,3.35106940538e-05,13259.6015643479,0,TRUE,0
BMI,TG,505,0.205053241874296,0.0203341602767924,6.49077698524579e-24,0.240896631988979,1.07963106880635e-05,-0.000625789086286684,0.475768761294464,0.204857368064118,2.95778560443878e-83,11393.1077451332,0,TRUE,0
CAD,BMI,76,-0.00451497374271174,0.0175491945586688,0.796966282868568,-0.0185401334372855,0.579271828705421,0.000926825093834858,0.620851352299037,-0.0194041794562445,0.00385505038355583,1432.02086520138,8.21668376425791e-250,TRUE,3.07983265553435e-106
CAD,eGFR,78,-0.00502754010044211,0.00399266452164365,0.207960187653021,-0.0074614200951307,0.362230377773479,0.000148566939667461,0.731986390769781,-0.00349735238911387,0.371894229951392,255.389131537389,5.57537620579833e-21,TRUE,2.6650361320075e-261
CAD,HbA1c,147,0.0311895233873966,0.0145958124134005,0.0326076206786298,0.0119703163528689,0.658380215581238,0.00128232185866676,0.399118651164963,0.0106977298535227,0.203850575920777,2411.6222587045,0,FALSE,2.34348927885613e-25
CAD,HDL,174,-0.105009781898007,0.0349540810175797,0.00266261898047977,-0.00294822023702185,0.965436216087445,-0.00645344101794773,0.0822026065397789,0.00675618026772843,0.264907351888043,37505.971421081,0,TRUE,9.41096674216552e-32
CAD,HF,172,0.309756560011843,0.0192512773256701,2.98956217285587e-58,0.317597068646439,5.57913984432007e-14,-0.000481662631508412,0.815601209475396,0.313313832592396,6.85364710293147e-26,267.09470178109,3.58278941680133e-06,TRUE,0
CAD,LDL,175,0.246198328884985,0.0499861356241196,8.42171066856311e-07,0.491978168702834,6.86427547446356e-07,-0.0155060448182175,0.00311214998723989,-0.0407144599084681,3.78240390044218e-11,76422.9946558172,0,FALSE,4.3121070412934e-26
CAD,SBP,167,1.8193901415398,0.294776201134203,6.73860325496108e-10,0.45055585473071,0.433205597336998,0.0852175862112808,0.00636741561644691,0.616849942054283,6.1889811299192e-07,5157.24234639791,0,TRUE,6.19593848976876e-22
CAD,Stroke,170,0.21648398844783,0.0242000790138913,3.69967547347446e-19,0.141804864045532,0.00421276635201682,0.00450951501995656,0.0810407397315934,0.212871674561493,1.81634328980282e-15,479.933200179373,1.42266193015899e-31,TRUE,0
CAD,T2D,170,0.0958307115052798,0.0273909358908039,0.000467657516842588,-0.0317824990175877,0.549910902277918,0.00800787849721763,0.00589058913004652,0.0583314931218845,0.0478181198457744,600.227345774569,1.25571200608733e-49,TRUE,8.18446688038379e-126
CAD,TC,174,0.194063920356122,0.0411693356330098,2.43142042762523e-06,0.394063119712204,1.3703549584204e-06,-0.012647777426399,0.00354740374556652,-0.0373144990805489,1.43618340163306e-09,55337.3646363966,0,FALSE,5.33220878068708e-18
CAD,TG,174,0.0555852727107802,0.0314090543883423,0.0767735790209203,-0.0841378698664183,0.164887707286007,0.00883312965630962,0.007726688984166,-0.0249589551353932,0.000264174163256571,30703.4989962138,0,TRUE,1.37418183397383e-76
eGFR,BMI,127,-0.518192357288814,0.153478067060791,0.00073460178824533,-0.144649259225438,0.671852242267213,-0.0013319799090465,0.221906217555092,-0.102173005870709,0.359016017945205,1042.56882054826,4.2136694386874e-144,TRUE,0
eGFR,CAD,323,0.385849895972053,0.307174422116795,0.209070151830229,1.12894357534985,0.0972241097102523,-0.00257234090402901,0.220527689353426,0.370467974015885,0.319772972336431,734.693589976556,2.81093555028848e-34,TRUE,0
eGFR,HbA1c,275,-0.19987960648585,0.145530968932066,0.169612287450615,-0.274037607384966,0.372572249821878,0.000263476140133748,0.783774063428016,-0.000124678825675743,0.999010775996317,2807.69675294748,0,TRUE,6.71002712034147e-19
eGFR,HDL,336,0.11729741829931,0.136234969033272,0.389241641267287,0.28349228423484,0.337405591973853,-0.000580702564295403,0.525826317806557,0.210824930915887,0.000884990378857066,7325.11439131835,0,TRUE,0
eGFR,HF,330,0.177709679595784,0.239341519508344,0.457787991071896,0.383977745287616,0.470189477021668,-0.000710264645442083,0.663691926694689,0.317757583154463,0.337689372805184,538.797653655205,2.29979627624097e-12,TRUE,0
eGFR,LDL,337,0.252542155486598,0.229066342653147,0.270250973450232,0.0502272915706028,0.919493026746231,0.000708961968721973,0.646281887289493,-0.0739596423144288,0.204710770723103,20725.717912036,0,TRUE,0
eGFR,SBP,320,0.543016063430499,2.25664050172629,0.809841670096057,0.425439077503424,0.932074758472034,0.000408335496834248,0.978918060692845,-1.0557924965566,0.547746536969816,3933.66350316382,0,TRUE,0
eGFR,Stroke,325,-0.183306782376304,0.205387108773843,0.372128154847307,-0.350106500963327,0.444332767245657,0.000572484185573921,0.683151611298425,-0.503936079242278,0.0794257685418521,451.106344036406,3.66946904453008e-06,TRUE,0
eGFR,T2D,330,0.61834454913625,0.317558763594387,0.0515129789991187,0.30836049666473,0.655949134935548,0.00108869750327482,0.614054690406212,0.591851147224461,0.0713925271526393,1087.53902612922,6.76068014149419e-82,TRUE,0
eGFR,TC,336,0.274305910506849,0.217675644096809,0.207612028983704,0.198073004303611,0.674853096681207,0.000266345339944476,0.855524128227892,-0.195556995875249,0.00164774377316499,19884.196119919,0,TRUE,0
eGFR,TG,336,0.0114255935916078,0.188703974828157,0.951719418235728,0.172500813870475,0.673268505549463,-0.000562938944860409,0.65703337427089,-0.468342045514954,6.51725002952989e-13,14247.3375474884,0,TRUE,0
HbA1c,BMI,110,0.00422020441228821,0.0327052280467375,0.897327890306615,-0.0702550973232112,0.203521145630197,0.00270528254304485,0.0957208820955539,-0.00530405141477612,0.670973888708026,3011.93895238066,0,TRUE,0
HbA1c,CAD,306,0.213911092408723,0.0359503960542341,2.67858464675178e-09,0.118451087798283,0.0683751737158837,0.00316888898058296,0.0778283395712802,0.143877694090183,0.000959256164197342,670.314947630059,1.78264292250398e-29,TRUE,0
HbA1c,eGFR,111,-0.000247823782176115,0.0053220915827166,0.962859839708115,-0.00697617434670697,0.445714402169374,0.000233388315029386,0.365027379811212,-0.00227859991724571,0.681582769093469,273.617996695894,6.11276153323993e-16,TRUE,0
HbA1c,HDL,342,-0.0140122712806288,0.0175023350534623,0.423366498703539,0.059465934219851,0.0450570103909589,-0.00261808484625003,0.00235571897901527,0.00579114730484471,0.446042797061431,9583.72416652219,0,TRUE,0
HbA1c,HF,307,0.0283725721989589,0.028510294113895,0.319653883222226,-0.048956442126311,0.337426186407919,0.00259246345645119,0.068546077270745,0.00378060507498613,0.92066364419085,504.141517654817,6.85064515621542e-12,TRUE,0
