transition,stage_X,stage_Y,same_stage,cross_type,b_fwd,se_fwd,p_fwd,fwd_sig,b_rev,se_rev,p_rev,n_rev,rev_steiger_correct,rev_egger_int_p,mde_rev_80pct,reverse_powered_to_bfwd,tost_equiv_p_sesoi0.05,verdict
BMI->T2D,1,2,False,True,+0.9903,0.0632,2.41e-55,True,+0.0097,0.0177,5.82e-01,103,True,0.017,0.0495,True,0.011,CONCORDANT
BMI->CAD,1,4,False,True,+0.3870,0.0279,1.30e-43,True,-0.0045,0.0175,7.97e-01,76,True,0.621,0.0492,True,0.005,CONCORDANT
BMI->HF,1,4,False,True,+0.5246,0.0199,3.38e-153,True,+0.2292,0.1599,1.52e-01,14,False,0.816,0.4479,True,0.869,CONCORDANT
BMI->Stroke,1,4,False,True,+0.1513,0.0249,1.30e-09,True,+0.0153,0.0179,3.92e-01,11,True,0.795,0.0502,True,0.027,CONCORDANT
SBP->CAD,2,4,False,True,+0.0336,0.0024,9.10e-45,True,+1.8194,0.2948,6.74e-10,167,True,0.006,0.8258,False,1.000,DISCORDANT_PLEIOTROPIC
SBP->HF,2,4,False,True,+0.0199,0.0016,1.70e-37,True,+1.5595,0.6635,1.88e-02,44,False,0.084,1.8590,False,0.989,CONCORDANT
SBP->Stroke,2,4,False,True,+0.0269,0.0018,1.16e-51,True,+1.9175,0.9949,5.39e-02,23,False,0.114,2.7872,False,0.970,CONCORDANT
LDL->CAD,2,4,False,True,+0.5109,0.0333,3.09e-53,True,+0.2462,0.0500,8.42e-07,175,False,0.003,0.1400,True,1.000,CONCORDANT
LDL->HF,2,4,False,True,+0.1215,0.0203,2.29e-09,True,+0.2790,0.1386,4.42e-02,45,False,0.245,0.3884,False,0.951,CONCORDANT
HbA1c->T2D,2,2,True,True,+1.0610,0.0956,1.35e-28,True,+0.2793,0.0148,7.08e-80,110,False,0.788,0.0413,True,1.000,CONCORDANT
HbA1c->CAD,2,4,False,True,+0.1838,0.0250,2.12e-13,True,+0.0312,0.0146,3.26e-02,147,False,0.399,0.0409,True,0.099,CONCORDANT
T2D->CAD,2,4,False,False,+0.1290,0.0221,5.34e-09,True,+0.1675,0.0349,1.56e-06,128,True,0.003,0.0977,True,1.000,DISCORDANT_PLEIOTROPIC
T2D->HF,2,4,False,False,+0.0525,0.0131,6.26e-05,True,+0.4217,0.1190,3.93e-04,33,True,0.924,0.3333,False,0.999,DISCORDANT
T2D->Stroke,2,4,False,False,+0.0805,0.0129,3.91e-10,True,+0.2324,0.0773,2.64e-03,18,True,0.611,0.2165,False,0.991,DISCORDANT
CAD->HF,4,4,True,False,+0.2851,0.0123,1.22e-119,True,+0.8069,0.1494,6.68e-08,45,False,0.023,0.4187,False,1.000,CONCORDANT
