transition,very tight,tight,PRIMARY,loose,very loose,stability
BMI->T2D,INDETERMINATE,INDETERMINATE,CONCORDANT,CONCORDANT,CONCORDANT,bound-sensitive
BMI->CAD,INDETERMINATE,INDETERMINATE,CONCORDANT,CONCORDANT,CONCORDANT,bound-sensitive
BMI->HF,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,stable
BMI->Stroke,INDETERMINATE,INDETERMINATE,INDETERMINATE,CONCORDANT,CONCORDANT,bound-sensitive
SBP->CAD,DISCORDANT_CAVEATED,DISCORDANT_CAVEATED,DISCORDANT_CAVEATED,INDETERMINATE,CONCORDANT,bound-sensitive
SBP->HF,CONCORDANT,CONCORDANT,CONCORDANT,INDETERMINATE,CONCORDANT,bound-sensitive
SBP->Stroke,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,CONCORDANT,bound-sensitive
LDL->CAD,CONCORDANT,CONCORDANT,CONCORDANT,CONCORDANT,CONCORDANT,stable
LDL->HF,CONCORDANT,CONCORDANT,CONCORDANT,CONCORDANT,CONCORDANT,stable
HbA1c->T2D,CONCORDANT,CONCORDANT,CONCORDANT,CONCORDANT,CONCORDANT,stable
HbA1c->CAD,CONCORDANT,CONCORDANT,INDETERMINATE,CONCORDANT,CONCORDANT,bound-sensitive
T2D->CAD,DISCORDANT_CAVEATED,DISCORDANT_CAVEATED,DISCORDANT_CAVEATED,DISCORDANT_CAVEATED,INDETERMINATE,bound-sensitive
T2D->HF,DISCORDANT,DISCORDANT,DISCORDANT,DISCORDANT,DISCORDANT,stable
T2D->Stroke,DISCORDANT,DISCORDANT,DISCORDANT,DISCORDANT,DISCORDANT,stable
CAD->HF,CONCORDANT,CONCORDANT,CONCORDANT,CONCORDANT,CONCORDANT,stable
