exposure,outcome,cross,direction,r2_exp,r2_out,margin,margin_lo,margin_hi,fragile
BMI,CAD,True,forward,0.0491580692271082,0.00435960705265777,11.2758,11.2735,11.2775,False
BMI,HF,True,forward,0.0490230108459984,0.00376986441111674,13.0039,13.0033,13.0041,False
BMI,Stroke,True,forward,0.0492064184957604,0.00265727438819963,18.5176,18.5173,18.5179,False
BMI,T2D,True,forward,0.0446864885480232,0.0194113447662975,2.3021,2.2973,2.3069,False
CAD,HF,False,intra,0.0258563198595983,0.00275308287352114,9.3918,9.3757,9.4094,False
CAD,SBP,True,backward,0.0253383572062539,0.00836646225259637,3.0286,3.0246,3.0339,False
CAD,Stroke,False,intra,0.0254481821808042,0.0024665943768812,10.3171,10.3032,10.3356,False
CAD,T2D,True,backward,0.0191700798073674,0.0034716201791139,5.5219,5.5168,5.5288,False
HDL,CAD,True,forward,0.0655245368237331,0.00765067524185519,8.5645,8.5577,8.5697,False
HDL,HF,True,forward,0.0576556341275001,0.00300759750139928,19.17,19.1693,19.1702,False
HDL,Stroke,True,forward,0.0562655810442661,0.00278478051822535,20.2047,20.2037,20.2057,False
HDL,T2D,False,intra,0.0342415335368178,0.0100357505210236,3.412,3.4116,3.4123,False
HF,Stroke,False,intra,0.00379950458517811,0.00117909183199207,3.2224,3.2206,3.2251,False
HbA1c,CAD,True,forward,0.284237778745515,0.00332897345100379,85.383,85.3718,85.3915,False
HbA1c,Stroke,True,forward,0.24645458495622,0.00182198845192277,135.2668,135.2423,135.2914,False
HbA1c,T2D,False,intra,0.166195421246669,0.022713714713258,7.317,7.3081,7.3261,False
LDL,CAD,True,forward,0.0644294903405425,0.0123586244136946,5.2133,5.1913,5.23,False
LDL,HF,True,forward,0.0508759066067964,0.00229397298508465,22.1781,22.1703,22.1807,False
SBP,CAD,True,forward,0.0430723873257276,0.00839084804967621,5.1333,5.1317,5.1344,False
SBP,HF,True,forward,0.0424864521369981,0.00329491205490581,12.8946,12.8944,12.895,False
SBP,Stroke,True,forward,0.0427139075815267,0.00484227684742661,8.821,8.8209,8.8211,False
SBP,T2D,False,intra,0.0339710518331694,0.0060718202411809,5.5949,5.5922,5.5975,False
Stroke,HF,False,intra,0.00347233998759522,0.000742061746320554,4.6793,4.6761,4.6811,False
T2D,CAD,True,forward,0.0357235217914223,0.00281976403291191,12.669,12.6548,12.6843,False
T2D,HDL,False,intra,0.0357235217914223,0.00462642448405398,7.7216,7.7156,7.7275,False
T2D,HF,True,forward,0.0349122163186354,0.000770918447092076,45.2865,45.2509,45.3206,False
T2D,SBP,False,intra,0.0357235217914223,0.0018127016575571,19.7073,19.692,19.7222,False
T2D,Stroke,True,forward,0.0357235217914223,0.000868420531263345,41.1362,41.1027,41.1688,False
TC,CAD,True,forward,0.0632150314527632,0.0110212612914266,5.7357,5.7087,5.7562,False
TC,HF,True,forward,0.054843612482247,0.00270375801134384,20.2842,20.2729,20.288,False
TG,CAD,True,forward,0.052703296911317,0.0080214786797219,6.5703,6.5511,6.5847,False
TG,HF,True,forward,0.0448027776498582,0.00288019051110971,15.5555,15.5513,15.5569,False
TG,Stroke,True,forward,0.0428805743640818,0.00267821020125578,16.0109,16.0101,16.0117,False
TG,T2D,False,intra,0.0285859524869394,0.0148942291521002,1.9193,1.9182,1.9203,False
BMI,HbA1c,True,forward,0.0450938178482369,0.0135222286250913,3.3348,3.3348,3.3348,FALSE
BMI,HDL,True,forward,0.0492537047143342,0.00896557357778599,5.4936,5.4936,5.4936,FALSE
BMI,TG,True,forward,0.0492537047143342,0.00671636247055685,7.3334,7.3334,7.3334,FALSE
HbA1c,LDL,False,intra,0.108121300400568,0.00596705768541853,18.1197,18.1197,18.1197,FALSE
HbA1c,TC,False,intra,0.108121300400568,0.00650174177679138,16.6296,16.6296,16.6296,FALSE
HbA1c,TG,False,intra,0.108121300400568,0.00861839199541205,12.5454,12.5454,12.5454,FALSE
HDL,TC,False,intra,0.0688030148425972,0.024776610163747,2.7769,2.7769,2.7769,FALSE
HDL,TG,False,intra,0.0688030148425972,0.0338273769012107,2.0339,2.0339,2.0339,FALSE
LDL,eGFR,False,intra,0.0525879915584014,0.00365538960741382,14.3864,14.3864,14.3864,FALSE
LDL,TC,False,intra,0.0740281145421325,0.0687878960970649,1.0762,1.0762,1.0762,TRUE
LDL,TG,False,intra,0.0740281145421325,0.0214660549997214,3.4486,3.4486,3.4486,FALSE
TC,eGFR,False,intra,0.0570206260081364,0.00411629837076689,13.8524,13.8524,13.8524,FALSE
TC,HDL,False,intra,0.0680175744075666,0.0267924896449123,2.5387,2.5387,2.5387,FALSE
TC,LDL,False,intra,0.0678921493871063,0.0640323384380822,1.0603,1.0603,1.0603,TRUE
TC,TG,False,intra,0.0678921493871063,0.0210037804332458,3.2324,3.2324,3.2324,FALSE
TG,HbA1c,False,intra,0.0458905911275903,0.0239911528854697,1.9128,1.9128,1.9128,FALSE
TG,HDL,False,intra,0.0545315606412876,0.038660741438392,1.4105,1.4105,1.4105,TRUE
TG,LDL,False,intra,0.0545315606412876,0.0207165105172789,2.6323,2.6323,2.6323,FALSE
TG,SBP,False,intra,0.0407785030214104,0.00605162254278486,6.7384,6.7384,6.7384,FALSE
TG,TC,False,intra,0.0545315606412876,0.0257945223202555,2.1141,2.1141,2.1141,FALSE
