"exposure","outcome","cross","direction","nsnp","r2_exp","r2_out","margin","margin_lo","margin_hi","prevalence_invariant","fragile"
"BMI","HbA1c","True","forward",453,0.0450938178482369,0.0135222286250913,3.3348,3.3348,3.3348,TRUE,FALSE
"BMI","HDL","True","forward",505,0.0492537047143342,0.00896557357778599,5.4936,5.4936,5.4936,TRUE,FALSE
"BMI","TG","True","forward",505,0.0492537047143342,0.00671636247055685,7.3334,7.3334,7.3334,TRUE,FALSE
"HbA1c","LDL","False","intra",342,0.108121300400568,0.00596705768541853,18.1197,18.1197,18.1197,TRUE,FALSE
"HbA1c","TC","False","intra",342,0.108121300400568,0.00650174177679138,16.6296,16.6296,16.6296,TRUE,FALSE
"HbA1c","TG","False","intra",342,0.108121300400568,0.00861839199541205,12.5454,12.5454,12.5454,TRUE,FALSE
"HDL","TC","False","intra",578,0.0688030148425972,0.024776610163747,2.7769,2.7769,2.7769,TRUE,FALSE
"HDL","TG","False","intra",578,0.0688030148425972,0.0338273769012107,2.0339,2.0339,2.0339,TRUE,FALSE
"LDL","eGFR","False","intra",381,0.0525879915584014,0.00365538960741382,14.3864,14.3864,14.3864,TRUE,FALSE
"LDL","TC","False","intra",532,0.0740281145421325,0.0687878960970649,1.0762,1.0762,1.0762,TRUE,TRUE
"LDL","TG","False","intra",532,0.0740281145421325,0.0214660549997214,3.4486,3.4486,3.4486,TRUE,FALSE
"TC","eGFR","False","intra",458,0.0570206260081364,0.00411629837076689,13.8524,13.8524,13.8524,TRUE,FALSE
"TC","HDL","False","intra",565,0.0680175744075666,0.0267924896449123,2.5387,2.5387,2.5387,TRUE,FALSE
"TC","LDL","False","intra",563,0.0678921493871063,0.0640323384380822,1.0603,1.0603,1.0603,TRUE,TRUE
"TC","TG","False","intra",563,0.0678921493871063,0.0210037804332458,3.2324,3.2324,3.2324,TRUE,FALSE
"TG","HbA1c","False","intra",428,0.0458905911275903,0.0239911528854697,1.9128,1.9128,1.9128,TRUE,FALSE
"TG","HDL","False","intra",531,0.0545315606412876,0.038660741438392,1.4105,1.4105,1.4105,TRUE,TRUE
"TG","LDL","False","intra",531,0.0545315606412876,0.0207165105172789,2.6323,2.6323,2.6323,TRUE,FALSE
"TG","SBP","False","intra",416,0.0407785030214104,0.00605162254278486,6.7384,6.7384,6.7384,TRUE,FALSE
"TG","TC","False","intra",531,0.0545315606412876,0.0257945223202555,2.1141,2.1141,2.1141,TRUE,FALSE
