"exposure","outcome","cross","direction","nsnp","prev_exp","prev_out","at_base","r2_exp","r2_out","correct_dir"
"BMI","CAD","True","forward",504,NA,0.03,FALSE,0.0491580692271082,0.00435894914589802,TRUE
"BMI","CAD","True","forward",504,NA,0.045,FALSE,0.0491580692271082,0.00435927827360537,TRUE
"BMI","CAD","True","forward",504,NA,0.06,TRUE,0.0491580692271082,0.00435960705265777,TRUE
"BMI","CAD","True","forward",504,NA,0.08,FALSE,0.0491580692271082,0.00436004488237602,TRUE
"BMI","CAD","True","forward",504,NA,0.1,FALSE,0.0491580692271082,0.00436048209226449,TRUE
"BMI","HF","True","forward",501,NA,0.01,FALSE,0.0490230108459984,0.00376980297747106,TRUE
"BMI","HF","True","forward",501,NA,0.015,FALSE,0.0490230108459984,0.00376983370043135,TRUE
"BMI","HF","True","forward",501,NA,0.02,TRUE,0.0490230108459984,0.00376986441111674,TRUE
"BMI","HF","True","forward",501,NA,0.035,FALSE,0.0490230108459984,0.00376995646952358,TRUE
"BMI","HF","True","forward",501,NA,0.05,FALSE,0.0490230108459984,0.00377004841745639,TRUE
"BMI","Stroke","True","forward",504,NA,0.02,FALSE,0.0492064184957604,0.00265722938481564,TRUE
"BMI","Stroke","True","forward",504,NA,0.035,FALSE,0.0492064184957604,0.00265725193732606,TRUE
"BMI","Stroke","True","forward",504,NA,0.05,TRUE,0.0492064184957604,0.00265727438819963,TRUE
"BMI","Stroke","True","forward",504,NA,0.065,FALSE,0.0492064184957604,0.00265729673743636,TRUE
"BMI","Stroke","True","forward",504,NA,0.08,FALSE,0.0492064184957604,0.00265731898503626,TRUE
"BMI","T2D","True","forward",463,NA,0.05,FALSE,0.0446864885480232,0.0193705384066781,TRUE
"BMI","T2D","True","forward",463,NA,0.075,FALSE,0.0446864885480232,0.0193910219147195,TRUE
"BMI","T2D","True","forward",463,NA,0.1,TRUE,0.0446864885480232,0.0194113447662975,TRUE
"BMI","T2D","True","forward",463,NA,0.125,FALSE,0.0446864885480232,0.019431506979536,TRUE
"BMI","T2D","True","forward",463,NA,0.15,FALSE,0.0446864885480232,0.0194515085724129,TRUE
"CAD","HF","False","intra",171,0.03,0.01,FALSE,0.0258223996628399,0.00275271834931394,TRUE
"CAD","HF","False","intra",171,0.03,0.015,FALSE,0.0258223996628399,0.00275290062312927,TRUE
"CAD","HF","False","intra",171,0.03,0.02,FALSE,0.0258223996628399,0.00275308287352114,TRUE
"CAD","HF","False","intra",171,0.03,0.035,FALSE,0.0258223996628399,0.00275362948415608,TRUE
"CAD","HF","False","intra",171,0.03,0.05,FALSE,0.0258223996628399,0.00275417588398007,TRUE
"CAD","HF","False","intra",171,0.045,0.01,FALSE,0.0258393711449811,0.00275271834931394,TRUE
