exp,out,b,p,nsnp,stage_from,stage_to,cross,direction,egger_int_p,Q_p
BMI,CAD,0.3870,1.296e-43,504,1,4,True,forward,0.6359,1.84e-123
BMI,HbA1c,0.2251,3.197e-29,453,1,2,True,forward,0.1194,0.00e+00
BMI,HDL,-0.2752,6.437e-60,505,1,2,True,forward,0.4305,0.00e+00
BMI,HF,0.5246,3.378e-153,501,1,4,True,forward,0.3381,1.61e-23
BMI,Stroke,0.1513,1.300e-09,504,1,4,True,forward,0.6516,4.44e-12
BMI,T2D,0.9903,2.412e-55,463,1,2,True,forward,0.7666,0.00e+00
BMI,TG,0.2051,6.491e-24,505,1,2,True,forward,0.4758,0.00e+00
CAD,HF,0.2851,1.219e-119,171,4,4,False,intra,0.5268,3.78e-15
CAD,SBP,1.4812,1.112e-07,141,4,2,True,backward,NA,NA
CAD,Stroke,0.1711,5.516e-17,168,4,4,False,intra,0.0265,2.02e-36
CAD,T2D,0.1675,1.557e-06,128,4,2,True,backward,0.0033,7.51e-76
HbA1c,CAD,0.1838,2.120e-13,336,2,4,True,forward,0.0611,1.54e-141
HbA1c,LDL,0.1310,6.720e-20,342,2,2,False,intra,0.5162,0.00e+00
HbA1c,Stroke,0.1128,5.074e-07,289,2,4,True,forward,0.0123,9.98e-12
HbA1c,T2D,1.0610,1.353e-28,198,2,2,False,intra,0.0174,0.00e+00
HbA1c,TC,0.1338,1.200e-19,342,2,2,False,intra,0.6645,0.00e+00
HbA1c,TG,0.0687,3.520e-04,342,2,2,False,intra,0.0070,0.00e+00
HDL,CAD,-0.3053,7.444e-30,557,2,4,True,forward,0.0007,1.98e-323
HDL,HF,-0.1235,1.030e-09,476,2,4,True,forward,0.0000,3.42e-90
HDL,Stroke,-0.0999,4.498e-06,448,2,4,True,forward,0.0002,1.12e-18
HDL,T2D,-0.4875,1.062e-16,306,2,2,False,intra,0.0000,4.99e-214
HDL,TC,0.1554,1.461e-08,578,2,2,False,intra,0.0232,0.00e+00
HDL,TG,-0.5121,9.134e-80,578,2,2,False,intra,0.6044,0.00e+00
HF,Stroke,0.3781,2.120e-09,45,4,4,False,intra,0.1276,1.80e-20
LDL,CAD,0.5109,3.093e-53,483,2,4,True,forward,0.0177,0.00e+00
LDL,eGFR,0.0079,1.635e-04,381,2,2,False,intra,0.8524,0.00e+00
LDL,HF,0.1215,2.292e-09,379,2,4,True,forward,0.0695,6.18e-56
LDL,TC,0.9086,0.000e+00,532,2,2,False,intra,0.0000,0.00e+00
LDL,TG,0.2169,8.185e-13,532,2,2,False,intra,0.0016,0.00e+00
SBP,CAD,0.0336,9.104e-45,436,2,4,True,forward,0.8899,0.00e+00
SBP,HF,0.0199,1.703e-37,431,2,4,True,forward,0.8935,1.23e-90
SBP,Stroke,0.0269,1.163e-51,434,2,4,True,forward,0.0711,2.22e-37
SBP,T2D,0.0172,2.957e-08,334,2,2,False,intra,0.0022,9.48e-108
Stroke,HF,0.3007,6.869e-05,23,4,4,False,intra,0.8404,3.25e-37
T2D,CAD,0.1290,5.339e-09,116,2,4,True,forward,0.0379,1.26e-156
T2D,HDL,-0.0714,2.718e-05,116,2,2,False,intra,0.0089,0.00e+00
T2D,HF,0.0525,6.256e-05,115,2,4,True,forward,0.0004,1.06e-31
T2D,SBP,0.7352,8.507e-08,110,2,2,False,intra,NA,NA
T2D,Stroke,0.0805,3.915e-10,116,2,4,True,forward,0.0383,6.99e-06
TC,CAD,0.4340,4.915e-44,534,2,4,True,forward,0.0003,0.00e+00
TC,eGFR,0.0087,4.119e-06,458,2,2,False,intra,0.4011,0.00e+00
TC,HDL,0.2152,5.767e-10,565,2,2,False,intra,0.0243,0.00e+00
TC,HF,0.0895,1.041e-05,445,2,4,True,forward,0.0007,8.12e-78
TC,LDL,0.9344,0.000e+00,563,2,2,False,intra,0.0042,0.00e+00
TC,TG,0.3183,1.975e-32,563,2,2,False,intra,0.8927,0.00e+00
TG,CAD,0.3927,6.197e-37,513,2,4,True,forward,0.0002,0.00e+00
TG,HDL,-0.5979,1.584e-64,531,2,2,False,intra,0.5692,0.00e+00
TG,HF,0.1091,4.322e-06,446,2,4,True,forward,0.0123,1.42e-100
TG,LDL,0.2768,1.791e-27,531,2,2,False,intra,0.5883,0.00e+00
TG,SBP,1.7418,2.118e-09,370,2,2,False,intra,NA,NA
TG,Stroke,0.0974,6.715e-05,430,2,4,True,forward,0.0475,4.44e-18
TG,T2D,0.5943,1.055e-13,296,2,2,False,intra,0.0000,0.00e+00
TG,TC,0.3470,2.916e-39,531,2,2,False,intra,0.8482,0.00e+00
