exposure,rho_ab,rho_total_direct,rho_a_total,pm_product_point,pm_product_lo,pm_product_hi,pm_diff_point,pm_diff_lo,pm_diff_hi
BMI,-0.5,-0.5,0.0,20.47,17.21,24.01,20.87,4.51,35.49
BMI,-0.5,-0.5,0.3,20.47,17.54,23.49,20.87,4.46,35.53
BMI,-0.5,-0.5,0.5,20.47,17.8,23.12,20.87,4.49,35.61
BMI,-0.5,-0.5,0.7,20.47,17.68,23.28,20.87,4.84,35.28
BMI,-0.5,-0.5,0.9,20.47,17.57,23.35,20.87,5.29,35.05
BMI,-0.5,0.0,0.0,20.47,17.19,23.97,20.87,7.34,33.47
BMI,-0.5,0.0,0.3,20.47,17.55,23.47,20.87,7.36,33.49
BMI,-0.5,0.0,0.5,20.47,17.8,23.13,20.87,7.26,33.55
BMI,-0.5,0.0,0.7,20.47,18.11,22.72,20.87,7.31,33.51
BMI,-0.5,0.0,0.9,20.47,17.93,22.88,20.87,7.49,33.46
BMI,-0.5,0.5,0.0,20.47,17.19,23.99,20.87,10.76,31.03
BMI,-0.5,0.5,0.3,20.47,17.54,23.49,20.87,10.69,31.0
BMI,-0.5,0.5,0.5,20.47,17.81,23.12,20.87,10.73,31.09
BMI,-0.5,0.5,0.7,20.47,18.11,22.72,20.87,10.75,30.96
BMI,-0.5,0.5,0.9,20.47,18.35,22.35,20.87,10.63,31.11
BMI,-0.5,0.75,0.0,20.47,17.2,24.01,20.87,12.83,29.33
BMI,-0.5,0.75,0.3,20.47,17.54,23.5,20.87,12.86,29.35
BMI,-0.5,0.75,0.5,20.47,17.8,23.13,20.87,12.79,29.35
BMI,-0.5,0.75,0.7,20.47,18.11,22.73,20.87,12.42,29.7
BMI,-0.5,0.75,0.9,20.47,18.43,22.28,20.87,11.58,30.32
BMI,0.0,-0.5,0.0,20.47,16.21,25.23,20.87,4.38,35.52
BMI,0.0,-0.5,0.3,20.47,16.44,24.91,20.87,4.41,35.56
BMI,0.0,-0.5,0.5,20.47,16.59,24.63,20.87,4.46,35.55
BMI,0.0,-0.5,0.7,20.47,16.79,24.35,20.87,4.5,35.51
BMI,0.0,-0.5,0.9,20.47,16.77,24.34,20.87,4.88,35.29
BMI,0.0,0.0,0.0,20.47,16.2,25.23,20.87,7.35,33.6
BMI,0.0,0.0,0.3,20.47,16.44,24.9,20.87,7.27,33.53
BMI,0.0,0.0,0.5,20.47,16.61,24.64,20.87,7.28,33.58
BMI,0.0,0.0,0.7,20.47,16.79,24.34,20.87,7.33,33.55
BMI,0.0,0.0,0.9,20.47,16.99,24.06,20.87,7.28,33.51
BMI,0.0,0.5,0.0,20.47,16.22,25.29,20.87,10.74,30.96
BMI,0.0,0.5,0.3,20.47,16.42,24.91,20.87,10.75,30.98
BMI,0.0,0.5,0.5,20.47,16.58,24.63,20.87,10.76,31.0
BMI,0.0,0.5,0.7,20.47,16.8,24.36,20.87,10.74,30.97
BMI,0.0,0.5,0.9,20.47,17.02,24.01,20.87,10.1,31.47
BMI,0.0,0.75,0.0,20.47,16.2,25.31,20.87,12.82,29.37
BMI,0.0,0.75,0.3,20.47,16.43,24.9,20.87,12.78,29.41
BMI,0.0,0.75,0.5,20.47,16.62,24.63,20.87,12.82,29.31
BMI,0.0,0.75,0.7,20.47,16.82,24.34,20.87,11.89,30.12
BMI,0.0,0.75,0.9,20.47,17.03,24.0,20.87,11.18,30.65
BMI,0.5,-0.5,0.0,20.47,15.43,26.32,20.87,4.44,35.51
BMI,0.5,-0.5,0.3,20.47,15.63,26.01,20.87,4.45,35.5
BMI,0.5,-0.5,0.5,20.47,15.75,25.76,20.87,4.5,35.55
BMI,0.5,-0.5,0.7,20.47,15.87,25.54,20.87,4.46,35.54
BMI,0.5,-0.5,0.9,20.47,16.03,25.32,20.87,4.58,35.45
BMI,0.5,0.0,0.0,20.47,15.43,26.31,20.87,7.32,33.47
BMI,0.5,0.0,0.3,20.47,15.59,26.02,20.87,7.31,33.56
BMI,0.5,0.0,0.5,20.47,15.75,25.77,20.87,7.35,33.51
BMI,0.5,0.0,0.7,20.47,15.88,25.55,20.87,7.38,33.48
BMI,0.5,0.0,0.9,20.47,16.14,25.16,20.87,7.04,33.7
BMI,0.5,0.5,0.0,20.47,15.43,26.31,20.87,10.73,31.01
BMI,0.5,0.5,0.3,20.47,15.6,25.97,20.87,10.72,31.05
BMI,0.5,0.5,0.5,20.47,15.75,25.81,20.87,10.74,31.0
BMI,0.5,0.5,0.7,20.47,15.98,25.43,20.87,10.22,31.48
BMI,0.5,0.5,0.9,20.47,16.2,25.08,20.87,9.78,31.78
BMI,0.5,0.75,0.0,20.47,15.44,26.31,20.87,12.8,29.38
BMI,0.5,0.75,0.3,20.47,15.62,26.02,20.87,12.81,29.33
BMI,0.5,0.75,0.5,20.47,15.8,25.74,20.87,12.19,29.86
BMI,0.5,0.75,0.7,20.47,16.01,25.39,20.87,11.44,30.44
BMI,0.5,0.75,0.9,20.47,16.2,25.08,20.87,10.93,30.93
BMI,0.75,-0.5,0.0,20.47,15.08,26.82,20.87,4.45,35.51
BMI,0.75,-0.5,0.3,20.47,15.26,26.48,20.87,4.49,35.56
BMI,0.75,-0.5,0.5,20.47,15.39,26.3,20.87,4.44,35.57
BMI,0.75,-0.5,0.7,20.47,15.54,25.97,20.87,4.38,35.55
BMI,0.75,-0.5,0.9,20.47,15.83,25.61,20.87,4.33,35.46
BMI,0.75,0.0,0.0,20.47,15.11,26.79,20.87,7.32,33.56
BMI,0.75,0.0,0.3,20.47,15.29,26.48,20.87,7.29,33.48
BMI,0.75,0.0,0.5,20.47,15.4,26.24,20.87,7.27,33.5
BMI,0.75,0.0,0.7,20.47,15.62,25.86,20.87,7.2,33.64
BMI,0.75,0.0,0.9,20.47,15.86,25.54,20.87,7.06,33.72
BMI,0.75,0.5,0.0,20.47,15.1,26.79,20.87,10.75,31.06
BMI,0.75,0.5,0.3,20.47,15.26,26.52,20.87,10.74,31.0
BMI,0.75,0.5,0.5,20.47,15.45,26.16,20.87,10.44,31.23
BMI,0.75,0.5,0.7,20.47,15.71,25.8,20.87,10.05,31.52
BMI,0.75,0.5,0.9,20.47,15.92,25.48,20.87,9.59,31.89
BMI,0.75,0.75,0.0,20.47,15.1,26.76,20.87,12.77,29.35
BMI,0.75,0.75,0.3,20.47,15.28,26.42,20.87,12.61,29.54
BMI,0.75,0.75,0.5,20.47,15.52,26.08,20.87,11.92,30.06
BMI,0.75,0.75,0.7,20.47,15.7,25.78,20.87,11.33,30.55
BMI,0.75,0.75,0.9,20.47,15.92,25.47,20.87,10.8,31.06
T2D,-0.5,-0.5,0.0,68.24,39.72,138.31,78.61,-12.8,124.23
T2D,-0.5,-0.5,0.3,68.24,43.92,125.08,78.61,-12.29,124.27
T2D,-0.5,-0.5,0.5,68.24,47.58,115.95,78.61,-12.22,123.97
T2D,-0.5,-0.5,0.7,68.24,49.06,111.45,78.61,-8.56,124.99
T2D,-0.5,-0.5,0.9,68.24,50.68,107.1,78.61,-5.02,125.82
T2D,-0.5,0.0,0.0,68.24,39.92,137.66,78.61,12.79,131.28
T2D,-0.5,0.0,0.3,68.24,43.99,125.65,78.61,12.37,131.23
T2D,-0.5,0.0,0.5,68.24,47.5,115.64,78.61,12.64,131.18
T2D,-0.5,0.0,0.7,68.24,52.48,105.33,78.61,12.56,131.23
T2D,-0.5,0.0,0.9,68.24,54.63,100.16,78.61,13.68,131.37
T2D,-0.5,0.5,0.0,68.24,39.88,138.71,78.61,34.51,142.28
T2D,-0.5,0.5,0.3,68.24,43.86,125.3,78.61,34.59,142.01
T2D,-0.5,0.5,0.5,68.24,47.57,115.99,78.61,34.34,141.2
T2D,-0.5,0.5,0.7,68.24,52.51,105.27,78.61,34.55,141.77
T2D,-0.5,0.5,0.9,68.24,58.85,94.09,78.61,34.06,141.18
T2D,-0.5,0.75,0.0,68.24,39.92,138.04,78.61,43.88,148.46
T2D,-0.5,0.75,0.3,68.24,43.87,125.29,78.61,43.59,148.78
T2D,-0.5,0.75,0.5,68.24,47.55,116.12,78.61,43.83,148.47
T2D,-0.5,0.75,0.7,68.24,51.92,106.46,78.61,42.2,147.72
T2D,-0.5,0.75,0.9,68.24,57.35,96.96,78.61,38.98,144.36
T2D,0.0,-0.5,0.0,68.24,37.6,143.09,78.61,-13.18,124.44
T2D,0.0,-0.5,0.3,68.24,41.13,129.6,78.61,-12.32,124.15
T2D,0.0,-0.5,0.5,68.24,44.02,120.66,78.61,-12.82,124.4
T2D,0.0,-0.5,0.7,68.24,47.84,111.11,78.61,-12.65,124.17
T2D,0.0,-0.5,0.9,68.24,49.76,105.57,78.61,-8.4,125.22
T2D,0.0,0.0,0.0,68.24,37.61,142.35,78.61,12.33,131.18
T2D,0.0,0.0,0.3,68.24,41.15,130.29,78.61,12.29,131.08
T2D,0.0,0.0,0.5,68.24,44.06,120.83,78.61,12.24,131.28
T2D,0.0,0.0,0.7,68.24,47.85,111.14,78.61,12.44,131.07
T2D,0.0,0.0,0.9,68.24,52.72,98.92,78.61,12.59,130.87
T2D,0.0,0.5,0.0,68.24,37.63,141.9,78.61,34.28,142.03
T2D,0.0,0.5,0.3,68.24,41.15,130.12,78.61,34.41,141.13
T2D,0.0,0.5,0.5,68.24,44.06,121.32,78.61,34.36,141.61
T2D,0.0,0.5,0.7,68.24,47.81,110.76,78.61,34.62,141.54
T2D,0.0,0.5,0.9,68.24,51.33,102.71,78.61,31.02,139.33
T2D,0.0,0.75,0.0,68.24,37.74,142.94,78.61,43.87,148.54
T2D,0.0,0.75,0.3,68.24,41.01,130.43,78.61,43.81,148.87
T2D,0.0,0.75,0.5,68.24,44.12,121.19,78.61,43.82,149.27
T2D,0.0,0.75,0.7,68.24,47.07,112.68,78.61,40.01,145.53
T2D,0.0,0.75,0.9,68.24,50.3,105.99,78.61,36.74,143.46
T2D,0.5,-0.5,0.0,68.24,35.79,146.63,78.61,-13.6,124.16
T2D,0.5,-0.5,0.3,68.24,38.6,133.93,78.61,-12.94,124.18
T2D,0.5,-0.5,0.5,68.24,41.31,125.25,78.61,-13.18,123.98
T2D,0.5,-0.5,0.7,68.24,44.21,116.54,78.61,-13.24,124.43
T2D,0.5,-0.5,0.9,68.24,47.64,106.97,78.61,-12.18,124.38
T2D,0.5,0.0,0.0,68.24,35.68,147.46,78.61,11.9,131.26
T2D,0.5,0.0,0.3,68.24,38.62,134.04,78.61,12.74,131.14
T2D,0.5,0.0,0.5,68.24,41.32,125.05,78.61,12.69,130.78
T2D,0.5,0.0,0.7,68.24,44.28,116.37,78.61,12.48,131.18
T2D,0.5,0.0,0.9,68.24,47.4,108.14,78.61,10.48,130.78
T2D,0.5,0.5,0.0,68.24,35.68,146.46,78.61,34.46,141.84
T2D,0.5,0.5,0.3,68.24,38.69,134.32,78.61,34.45,141.55
T2D,0.5,0.5,0.5,68.24,41.24,125.55,78.61,34.53,141.69
T2D,0.5,0.5,0.7,68.24,43.75,118.47,78.61,31.45,139.45
T2D,0.5,0.5,0.9,68.24,46.38,111.43,78.61,28.65,138.6
T2D,0.5,0.75,0.0,68.24,35.64,146.5,78.61,43.69,148.83
T2D,0.5,0.75,0.3,68.24,38.85,134.47,78.61,43.75,148.47
T2D,0.5,0.75,0.5,68.24,41.05,126.81,78.61,41.33,146.63
T2D,0.5,0.75,0.7,68.24,43.44,120.33,78.61,37.98,144.02
T2D,0.5,0.75,0.9,68.24,45.82,113.28,78.61,35.26,142.14
T2D,0.75,-0.5,0.0,68.24,34.78,148.86,78.61,-13.52,124.36
T2D,0.75,-0.5,0.3,68.24,37.79,136.83,78.61,-12.59,124.14
T2D,0.75,-0.5,0.5,68.24,39.91,127.76,78.61,-13.09,124.23
T2D,0.75,-0.5,0.7,68.24,42.83,118.74,78.61,-12.6,124.18
T2D,0.75,-0.5,0.9,68.24,45.98,110.77,78.61,-13.42,123.93
T2D,0.75,0.0,0.0,68.24,34.82,149.48,78.61,12.37,131.18
T2D,0.75,0.0,0.3,68.24,37.62,136.52,78.61,12.11,131.53
T2D,0.75,0.0,0.5,68.24,40.06,127.89,78.61,12.07,130.94
T2D,0.75,0.0,0.7,68.24,42.71,120.01,78.61,11.34,131.0
T2D,0.75,0.0,0.9,68.24,45.34,112.8,78.61,10.23,130.16
T2D,0.75,0.5,0.0,68.24,34.82,148.22,78.61,34.56,141.7
T2D,0.75,0.5,0.3,68.24,37.81,136.2,78.61,34.37,141.41
T2D,0.75,0.5,0.5,68.24,40.04,128.98,78.61,32.96,140.23
T2D,0.75,0.5,0.7,68.24,42.21,121.7,78.61,30.17,139.15
T2D,0.75,0.5,0.9,68.24,44.63,115.36,78.61,28.29,138.04
T2D,0.75,0.75,0.0,68.24,34.83,148.89,78.61,43.8,148.53
T2D,0.75,0.75,0.3,68.24,37.68,136.89,78.61,42.92,148.31
T2D,0.75,0.75,0.5,68.24,39.74,129.77,78.61,40.26,145.65
T2D,0.75,0.75,0.7,68.24,41.94,123.15,78.61,37.26,143.62
T2D,0.75,0.75,0.9,68.24,44.15,116.41,78.61,34.65,141.77
