"model","outcome","exposure","nsnp","direct_b","direct_se","direct_p","total_b","total_p","cond_F"
"CAD_BMI_T2D","CAD","BMI",287,0.191096936641241,0.0877186283466346,0.030186580551587,0.386980879552735,1.29633992655145e-43,32.6551105538954
"CAD_BMI_T2D","CAD","T2D",287,0.162027426906759,0.0369455932179931,1.62956519317217e-05,0.128975010422208,5.33942999414376e-09,14.666941425396
"CAD_full","CAD","BMI",286,0.240168403383287,0.0860239315314588,0.00559842509525018,0.386980879552735,1.29633992655145e-43,29.8210314637126
"CAD_full","CAD","T2D",286,0.136311189273809,0.0364030099981277,0.000219103492506411,0.128975010422208,5.33942999414376e-09,13.918275562268
"CAD_full","CAD","LDL",286,0.317281509961323,0.113578319724836,0.00557113645125082,0.510856329399863,3.09304327312795e-53,40.4647901953107
"CAD_full","CAD","SBP",286,0.0257905253403815,0.00680940749037115,0.000186006470229152,0.0335822023384555,9.10387214077985e-45,22.3886330501399
"HF_via_CAD","HF","BMI",285,0.415142059892833,0.0312425354707077,1.28548694443264e-31,0.524647616025081,3.37817527193691e-153,32.5755726381807
"HF_via_CAD","HF","T2D",285,0.0112239172388246,0.0134758552117158,0.40561109155181,0.0524635251614278,6.25592936855118e-05,13.2395544784828
"HF_via_CAD","HF","CAD",285,0.277573924793811,0.0215844644009301,4.26693877867241e-30,0.285128893290755,1.21868603143507e-119,12.2233929729531
"Stroke_full","Stroke","SBP",315,0.0275478419076352,0.00327426428949914,1.45239883929202e-15,0.0268628637729715,1.16251011795581e-51,26.5291916757797
"Stroke_full","Stroke","BMI",315,0.162227440420557,0.040033312094671,6.40775815846543e-05,0.151320703449841,1.29958355931216e-09,55.9986387498036
"Stroke_full","Stroke","LDL",315,0.0544031478456099,0.0559972431378927,0.332035696973774,0.0700106439825992,0.00200029794743745,43.241760013315
