"exposure","outcome","nsnp","ivw_b","ivw_se","ivw_p","egger_b","egger_intercept","egger_intercept_p","wm_b","Q","Q_p"
"BMI","CAD",59,0.177599176926079,0.0660611864680807,0.00717944143950608,0.241899379243414,-0.00197246027497005,0.760278208278397,0.205409887592412,70.5767657463025,0.124349374550035
"BMI","CKD",59,0.29870324861223,0.0738971181801393,5.29632948949773e-05,0.320419616872082,-0.000668282089751239,0.926312361526455,0.32837281866245,109.872509965185,4.66013184049974e-05
"BMI","HF",59,0.487315528349331,0.100273127183796,1.17455961691764e-06,0.353338500474888,0.00410043374706015,0.67521377774366,0.457715152202536,84.2000882632349,0.0139002698920788
"BMI","Stroke",59,-0.00816486586614119,0.0785707185113278,0.917234887732147,-0.527888213656817,0.016005149997593,0.0393642602529162,-0.021591726398529,51.9792134054726,0.697464491144823
"BMI","T2D",59,-0.113892784952991,0.19493101817098,0.559037157751077,-0.556520641860289,0.0136324250707947,0.470771288347284,0.529058994980553,1340.51926503518,3.79409483075423e-242
"CAD","CAD",43,0.387881331876632,0.0344227525875641,1.88451810016981e-29,0.244343394842679,0.0148385482211694,0.0901691274365064,0.339765661518856,85.5537645028697,8.31080551883846e-05
"CAD","CKD",43,-0.0421511402924754,0.0274359899168911,0.124453838671389,-0.111249346780786,0.00708272835995877,0.312444152666751,-0.0542682411652455,73.1346208157023,0.00205795193154127
"CAD","HF",43,0.0640191773251244,0.0346323575508669,0.0645247679109171,-0.0726860620442155,0.0140811079839212,0.109586540683601,0.0487785523653626,49.7476309463895,0.192126281134765
"CAD","Stroke",43,0.0666153500254329,0.0362070613293249,0.065791121300008,-0.118626385464139,0.0190923337224682,0.0343264039919801,0.00978729551551884,58.259465311907,0.0487837882283908
"CAD","T2D",43,0.00708582094026536,0.0185439203634036,0.702379633492367,0.0339673589629222,-0.002756700398857,0.565372812850328,0.0401890893465971,61.105397180866,0.0285222581171792
"HbA1c","CAD",22,-0.0204762718615167,0.0476161412246546,0.667175305693324,0.217862026385685,-0.0150835726662353,0.208321388527769,0.00736744178486616,20.8351978743784,0.469047552302818
"HbA1c","CKD",22,0.0773443764099927,0.0439330185508308,0.0783219213284407,0.43140359730391,-0.0224182386655961,0.0454376188921369,0.110933201467926,22.04208425323,0.397088194217879
"HbA1c","HF",22,-0.0536810554432971,0.0675738032604309,0.426958934151396,-0.607321376751943,0.0347298707987094,0.0482174057752892,-0.0698101365738664,21.4251148811059,0.433259179253424
"HbA1c","Stroke",22,0.0708862001145254,0.068385035609931,0.299934093284024,0.124689078119001,-0.00341024749396206,0.845963409396477,0.057496784378678,24.4967508909134,0.269617076573089
"HbA1c","T2D",22,0.986764228669093,0.134292693325975,2.01401704414945e-13,1.71430602190688,-0.0461668409412053,0.163191108153124,0.452931200493355,365.411618065768,1.2800889246435e-64
"HDL","CAD",44,-0.0500859346159766,0.0362672349391158,0.167271473355137,-0.0413973427915093,-0.000845510431192967,0.861733744729292,-0.0278249315460041,69.9715950484883,0.00577676700681736
"HDL","CKD",44,-0.0614465371899433,0.0305220990144954,0.044095496999722,-0.0811840381059964,0.00182987983778127,0.651419983275895,-0.0484809465867349,58.2271066412862,0.0605145847331936
"HDL","HF",44,-0.0479792224404254,0.0410554768491387,0.242547232772333,-0.0293838496428097,-0.00181720357392507,0.741594745252149,-0.0656827316499574,48.3278823368739,0.266436166456208
"HDL","Stroke",44,-0.00218122641745483,0.0371296368029773,0.9531542316609,0.00412656511297014,-0.000612270702074291,0.901136091330936,0.0110221148198919,34.8983894699303,0.805732466032829
"HDL","T2D",44,-0.0163992417655369,0.039994151159842,0.681775871154471,0.0486332363593098,-0.00637037866660201,0.236096060425965,0.020244527003508,195.242743463972,2.7894614176022e-21
"LDL","CAD",26,0.227799108424441,0.0497470110903166,4.6686560204171e-06,0.219876777562033,0.000945815369709494,0.869300023017753,0.196128923407951,48.3470954168126,0.00338839909144813
"LDL","CKD",26,-0.0886824427912952,0.0338800486359884,0.0088565645636405,-0.0708134410962889,-0.00187597161569102,0.621797244033328,-0.0767630416064329,25.3755617514361,0.441491859016714
"LDL","HF",26,-0.0371827311405884,0.0473595711737178,0.432385880664579,-0.078718090554156,0.00500606598252809,0.357588824180634,-0.104606720384598,21.3903141274243,0.670656281284296
"LDL","Stroke",26,0.0508791166938758,0.0455470888483056,0.263965990713089,-0.00147903340315754,0.00637666787023758,0.232554287438592,0.0170009395487101,19.4602530548757,0.774534440108795
"LDL","T2D",26,-0.00954643562081729,0.03230748220311,0.767622008761179,-0.00124832849929995,-0.00101038686240497,0.788243155589126,0.00557817726563988,48.8558975870719,0.0029411573078173
"SBP","CAD",21,0.151621920322048,0.119703470779584,0.205281902932073,-0.329058608416213,0.0167160101386206,0.245831639272381,0.165642456800327,36.804951381426,0.0123482058797539
"SBP","CKD",21,0.234034835328417,0.078021367921426,0.00270312300531457,0.155985337276305,0.0027539090023764,0.761198162798807,0.172395760484788,17.5229785513195,0.618799858583347
"SBP","HF",21,0.161794091005962,0.123232475789581,0.189210702884389,0.066513041347267,0.00336725138181079,0.820166815842775,0.0513563511591595,21.3515235984587,0.376708057425568
"SBP","Stroke",21,0.67261872900567,0.130124132532731,2.35281320974167e-07,0.5674442026989,0.00369716353316492,0.809087903318324,0.597395444211299,24.2739656863124,0.230629604271047
"SBP","T2D",21,-0.164579518821016,0.0605563574644577,0.00657193510579246,-0.0787808343778771,-0.00304386175247448,0.676329035777909,-0.17959424917307,21.9541292202796,0.343004898062834
"T2D","CAD",145,0.0310028185235518,0.0165533588737437,0.0610819224562583,-0.0145843866009543,0.00399959436781177,0.118016128363586,0.0238308476773786,162.262616332175,0.141717611180787
"T2D","CKD",145,0.109255437448805,0.0152326075903998,7.36559772131857e-13,0.0943787939257505,0.00130481218582223,0.582147910116844,0.0820070648437585,174.149727467939,0.0441445730887403
"T2D","HF",145,-0.0179592025563632,0.0229045532644081,0.432988035664388,-0.0221376076216307,0.000361480419048259,0.919658972869147,-0.0581779193810704,163.779889390571,0.124056122583843
"T2D","Stroke",145,-0.0178568181980024,0.0204988805681167,0.383693073195861,-0.0272999791874766,0.000826033840612164,0.794394001679984,-0.00225218313837673,129.367693526928,0.803349115846869
"T2D","T2D",145,0.6556481598978,0.0139372491854618,0,0.730681010693704,-0.00667773399048016,0.00181067549204685,0.65641522322177,253.626609352774,4.65630608607608e-08
"TC","CAD",41,0.298412677312456,0.0608772086689268,9.49245664146102e-07,0.335296187412173,-0.00223270942310286,0.67650086617182,0.347827677269068,67.1928522493514,0.00452874773825606
"TC","CKD",41,-0.120978774575832,0.0529876678142633,0.0224215555115853,-0.175256758174183,0.00309143807281265,0.51401264712581,-0.14042299319155,61.6044396055624,0.0156724906500558
"TC","HF",41,-0.073046104082492,0.0693734951791167,0.292368650034802,-0.169863066292769,0.00589854819328166,0.329768174336804,-0.208750682084838,49.2388114621837,0.150114359872675
