"exposure","outcome","nsnp","ivw_b","ivw_se","ivw_p","wm_b","egger_b","steiger"
"BMI","CAD",59,0.16193285958307,0.10115399735235,0.109409088513767,0.201267457417847,0.306967874394058,TRUE
"BMI","eGFR",62,-0.0716069380134477,0.0320318305970667,0.0253849905667346,-0.0941885876756313,-0.104618185901015,TRUE
"BMI","HbA1c",62,-0.23378084085272,0.10505113375448,0.0260543670303428,0.186750902125833,-0.329718779937778,TRUE
"BMI","HDL",62,-0.193464775028893,0.0502295380795367,0.000117342044586706,-0.237846059224551,-0.137095242466953,TRUE
"BMI","HF",60,0.450654292067649,0.0733862173459062,8.20772684341573e-10,0.482372810740091,0.804957810166188,TRUE
"BMI","LDL",62,0.00154450620434141,0.0382189738975236,0.967764641938378,0.0385718231478358,0.00663341294282286,TRUE
"BMI","Stroke",61,0.156618843441132,0.0647703974542854,0.015603413541678,0.161672397979007,-0.027166113209006,TRUE
"BMI","T2D",62,-0.153084956572478,0.27776685170181,0.581546260246903,0.704287441770017,-0.323178308287864,TRUE
"BMI","TC",62,-0.0225812446572272,0.0321975259497278,0.483094115738194,0.00603567619998616,-0.0440066973815696,TRUE
"BMI","TG",62,0.164340947269178,0.0366182626909865,7.19116598746925e-06,0.124571871957176,0.0789896170587146,TRUE
"CAD","BMI",38,-0.0317666842551182,0.0131849439195604,0.0159824930586861,-0.0318683347549413,-0.0435010286568668,TRUE
"CAD","eGFR",38,0.00554386408766431,0.0160124427407632,0.729175688200335,-0.0115750960251407,-0.0332943294111933,TRUE
"CAD","HbA1c",38,0.00230623759216782,0.0199462430261376,0.907951606587749,-0.00493727267651625,-0.00686537541189851,TRUE
"CAD","HDL",38,-0.0724413024072852,0.0509933615678186,0.155432320036422,0.0020799822554577,0.0910299259895676,TRUE
"CAD","HF",44,0.0727043885225405,0.0308789097160626,0.0185476508208106,0.0842276169415873,-0.0780424779694565,TRUE
"CAD","LDL",38,0.0882158692334601,0.077606183009574,0.255658756500076,-0.0107867598685952,0.241506247951749,FALSE
"CAD","Stroke",48,-0.00562946807376807,0.0496139451145689,0.909661561603682,0.0178234713062497,-0.171972748137552,TRUE
"CAD","T2D",49,0.0202969765134857,0.0238692774598496,0.395136663223306,0.0369626638810007,-0.0828051578041422,TRUE
"CAD","TC",38,0.0700182117329372,0.0497872676668518,0.159620888263443,-0.0178576196864992,0.104682678185863,TRUE
