exposure,outcome,nsnp,ivw_b,ivw_se,ivw_p,steiger
BMI,CAD,94,0.3040408258474131,0.06554191996812625,3.5030949887890633e-06,TRUE
BMI,HF,95,0.4902766519894222,0.061945865335518054,2.4805229945810847e-15,TRUE
BMI,Stroke,96,0.1388422341743771,0.05492541587826785,0.011476919420246855,TRUE
BMI,T2D,97,0.9364322123876794,0.06143120745410929,1.81607945702732e-52,TRUE
HDL,CAD,96,-0.11716178854518672,0.03329202410485572,0.0004328258942346538,TRUE
HDL,HF,98,-0.03725055935876566,0.02702909472060959,0.16815227037177777,TRUE
HDL,Stroke,100,-0.02158719713706228,0.03129903999746226,0.49037785687354657,TRUE
HDL,T2D,100,-0.05314485585244058,0.03593087773270926,0.1391173490447864,TRUE
HbA1c,CAD,53,0.03793945183096759,0.03835075037588891,0.3225284431739096,TRUE
HbA1c,HF,56,-0.1295903410190901,0.04305120804788732,0.002611237495419891,TRUE
HbA1c,Stroke,55,-0.020617790227502732,0.03872341658741178,0.5944231774871098,TRUE
HbA1c,T2D,55,1.278751650862713,0.1319325789213598,3.246042491192675e-22,TRUE
LDL,CAD,72,0.42118033006533057,0.040763184126085095,5.030174794941452e-25,TRUE
LDL,HF,75,0.0007466584703510646,0.037266815301800496,0.9840150706266537,TRUE
LDL,Stroke,75,-0.0020925935599783226,0.03889783673195801,0.957096763763724,TRUE
LDL,T2D,77,-0.06071905003269851,0.03369879975064369,0.07157429668886166,TRUE
SBP,CAD,49,0.6464318758497689,0.10934805169950178,3.386136395573552e-09,TRUE
SBP,HF,49,0.6667001255486458,0.09597882980168448,3.749250350741362e-12,TRUE
SBP,Stroke,50,0.9964515927954132,0.11012305279596865,1.4490772236840955e-19,TRUE
SBP,T2D,51,-0.0756924774698239,0.07711907975480425,0.32634559086389536,TRUE
T2D,BMI,183,-0.06885605621388788,0.012587915309901667,4.500034123146057e-08,TRUE
T2D,HDL,182,0.009441070498083903,0.009139879317246687,0.301625651527435,TRUE
T2D,HbA1c,182,0.34917459137518586,0.009768171543799333,7.590890294903338e-280,FALSE
T2D,LDL,182,0.012303672588276568,0.006428245426418287,0.05561994024262865,TRUE
T2D,TC,182,0.00965084566628384,0.006562180361823493,0.14137857415527458,TRUE
T2D,TG,182,0.004938335133756313,0.009855072386494173,0.6163037202697702,TRUE
TC,CAD,112,0.38738076342807426,0.04281016086173288,1.4454249895030524e-19,TRUE
TC,HF,114,-0.01705275992716272,0.04130188467702268,0.6796938646653148,TRUE
TC,Stroke,112,-0.004552359031808889,0.03359155331939179,0.8922000057269267,TRUE
TC,T2D,115,-0.08797464536812326,0.03251637290064085,0.006819155438062178,TRUE
TG,CAD,79,0.13955888932546828,0.031591670977920865,9.980986090100661e-06,TRUE
TG,HF,82,0.009521890140934568,0.032388869201466844,0.7687682228761413,TRUE
TG,Stroke,82,0.02672845946595518,0.03139209816044096,0.3945254855697751,TRUE
TG,T2D,83,-0.03733204739684432,0.043175438563250235,0.3872257774198839,TRUE
