"exposure","outcome","nsnp","ivw_b","ivw_se","ivw_p","egger_b","egger_intercept","egger_intercept_p","wm_b","Q","Q_p"
"BMI","HFpEF",328,0.585211604269056,0.0384755000693878,3.03633751243446e-52,0.600746593104853,-0.000285825904380798,0.858380644258528,0.613852945191429,400.054452263396,0.00353448018405872
"BMI","HFrEF",329,0.56512789627875,0.0453998600148432,1.43772288297767e-35,0.717188859910225,-0.0027818237297496,0.140341584926341,0.542460908540439,498.52965771949,3.55947221473404e-09
"CAD","HFpEF",117,0.16344074158683,0.022716358207898,6.25304428803791e-13,0.149952073314576,0.000807680168698381,0.743679792362071,0.161101423830091,159.100315019722,0.00490584111393024
"CAD","HFrEF",118,0.378568208927874,0.0278983079215945,6.06720014704321e-42,0.402972591991693,-0.00144893384415951,0.631411408732101,0.390948531987379,214.461908993587,1.02217022975887e-07
"HbA1c","HFpEF",171,0.022777093938974,0.0398605474850579,0.567715316852573,-0.150429742126036,0.00596142868666834,0.00346727871857077,-0.097737157091909,325.448654070467,7.60538302058596e-12
"HbA1c","HFrEF",171,0.126649470821129,0.0415209549515328,0.00228647687096817,0.00957330189753419,0.0040333780117963,0.0589270607958952,0.0438075782807414,316.065219341147,7.32331539339871e-11
"LDL","HFpEF",204,0.0938971540755349,0.0419117896162207,0.0250680916379608,0.0876932856440645,0.000183040356703,0.911595971008302,0.0899686680328186,315.378988635711,7.11648189782273e-07
"LDL","HFrEF",205,0.194883822012494,0.0478861881158713,4.70677981614636e-05,0.283251536670313,-0.00259054890776069,0.167856339990907,0.270885482245113,365.578109712991,2.76332408500744e-11
"SBP","HFpEF",267,0.0196545661270327,0.00282004097925185,3.17836557873398e-12,0.0219515302747003,-0.000775392345460754,0.722653870149434,0.0199680625561841,473.469796954214,7.773282509326e-14
"SBP","HFrEF",267,0.0223747867627222,0.0033230352253767,1.65928412412064e-11,0.0206415239970213,0.000580685723882737,0.822004562618494,0.0281818814084524,581.576050362338,1.30758003885965e-25
"T2D","HFpEF",87,0.0134766525795979,0.0222756130031889,0.545181779308476,-0.0969750269722148,0.00928363977568006,0.0149043666323254,-0.0541059240598649,184.62176861893,3.6285741752713e-09
"T2D","HFrEF",87,0.0994279141007771,0.0231932511205079,1.81156884998357e-05,0.0224056789047423,0.00653440392681658,0.099008242604527,0.0463353254381234,181.656728536684,8.20039438563724e-09
"TC","HFpEF",244,0.0940230074982321,0.0384587960492219,0.0144943533090008,0.135182318842752,-0.00129635050949354,0.376925205503115,0.106698572303248,414.700124550135,4.13919872378415e-11
"TC","HFrEF",245,0.181877402432385,0.0414661633242683,1.15367027929306e-05,0.272318840123048,-0.00284838932864708,0.0703354452557899,0.249423680316957,430.942451746677,1.60863282996016e-12
"TG","HFpEF",247,0.0664535468342451,0.041432541596763,0.108736664222874,-0.0512352695170122,0.00334077866512091,0.0177233523147709,0.0796668765560044,404.466991814607,7.66375324314681e-10
"TG","HFrEF",249,0.215564075544322,0.0523523054932391,3.82894816702171e-05,0.0201681887841772,0.00552285171859257,0.00169836572432968,0.0620194716380553,582.535990282064,5.80669451833963e-29
