"exposure","outcome","provider","nsnp","ivw_b","ivw_se","ivw_p","egger_b","egger_p","egger_intercept","egger_intercept_p","wm_b","wm_p","Q","Q_p","steiger_correct","steiger_p"
"BMI","CAD","CARDIoGRAM",503,0.42167954823159,0.0366842497482436,1.40041726863249e-30,0.569428168684668,7.90673883407824e-09,-0.00258841868854376,0.100594839646098,0.401067666360798,1.21167330004592e-16,798.426545655969,6.8903991424052e-16,TRUE,0
"BMI","CAD","FinnGen",493,0.281140078738495,0.0321597665154401,2.29057330058782e-18,0.306018366751328,0.000403254431213372,-0.000434371556195903,0.754887346513258,0.268474589280287,1.14116649680762e-10,1030.7082469824,2.46509724026273e-40,TRUE,0
"eGFR","CAD","CARDIoGRAM",323,0.385849895972053,0.307174422116795,0.209070151830229,1.12894357534985,0.0972241097102523,-0.00257234090402901,0.220527689353426,0.370467974015885,0.342760342264009,734.693589976556,2.81093555028848e-34,TRUE,0
"eGFR","CAD","FinnGen",327,0.297584858561145,0.274264346982492,0.277908668493197,0.234460010285069,0.692683801860968,0.000221640699796048,0.904410658460548,0.401071508038901,0.157909548690987,1091.30594015389,2.945163813522e-83,TRUE,0
"HbA1c","CAD","CARDIoGRAM",306,0.213911092408723,0.0359503960542341,2.67858464675178e-09,0.118451087798283,0.0683751737158837,0.00316888898058296,0.0778283395712802,0.143877694090183,0.00112933294177385,670.314947630059,1.78264292250398e-29,TRUE,0
"HbA1c","CAD","FinnGen",318,0.134163416759035,0.0313394974686587,1.8608129090446e-05,0.100407346112298,0.0670949042484646,0.00117242557245679,0.451247392431156,0.117632202323738,0.000385144762265941,1032.3585882165,1.20662483711621e-76,TRUE,0
"HDL","CAD","CARDIoGRAM",458,-0.276110527942251,0.0374049013488776,1.56319712524111e-13,-0.159079979873093,0.00467645105126333,-0.0036530009538814,0.00541134475275096,-0.241123970829119,3.87152922923413e-06,1145.76514839489,7.76457576350144e-61,TRUE,0
"HDL","CAD","FinnGen",529,-0.299038339551091,0.0291429300918172,1.05504812782477e-24,-0.17499869050861,1.8035662932869e-05,-0.00452098566824528,1.6469840564265e-05,-0.168211045771404,1.72521929544653e-06,1760.83947635393,2.55663166299297e-132,TRUE,0
"HF","CAD","CARDIoGRAM",46,0.760740716637588,0.146427967255666,2.04363718289852e-07,1.32453017153983,0.00460111137620792,-0.0242324397463045,0.185465283527989,0.32119082093843,6.83818845636069e-05,528.241903624546,1.05224992960879e-83,FALSE,7.29556938810951e-35
"HF","CAD","FinnGen",43,0.690194626309644,0.145489899562025,2.09606133361807e-06,1.21848193056154,0.00703402379117993,-0.0230985888133681,0.198745231107251,0.310639617601532,4.20873572323859e-08,893.551017595348,4.01205464604474e-160,FALSE,1.99602589674708e-23
"LDL","CAD","CARDIoGRAM",358,0.603291175728615,0.0445764126505476,9.86942962033013e-42,0.717114405708835,1.7421044442262e-22,-0.0037926993742002,0.0303027740864072,0.556676912369948,3.00974283032689e-30,1047.87348468391,4.35359951236456e-69,TRUE,0
"LDL","CAD","FinnGen",455,0.423006498544569,0.0288079648657766,8.20342492201461e-49,0.47060292619085,1.23197206732719e-31,-0.00251714049435313,0.0446603647215296,0.387487297033759,4.58281748917836e-30,1787.59021181953,3.0312114998446e-157,TRUE,0
"SBP","CAD","CARDIoGRAM",430,0.0330630810669215,0.0029853792880298,1.65876772713339e-28,0.0311547755052314,4.34635170924451e-05,0.000634461245229614,0.782994443567004,0.0303650267334796,5.11022483954241e-24,1249.95204167444,3.20354482150193e-81,TRUE,0
"SBP","CAD","FinnGen",424,0.0312575983739088,0.0028120787003089,1.05484439758698e-28,0.0338041325295033,2.9360322734686e-06,-0.000847075862406692,0.697797386124162,0.0298177189704025,1.80031730141871e-32,1956.04128493037,4.34437209888427e-195,TRUE,0
"T2D","CAD","CARDIoGRAM",116,0.147583582511704,0.0216389791836501,9.08724284889489e-12,0.0581302531710478,0.236930874427971,0.00724427133128309,0.0442985997610208,0.109874752731908,2.21046328946815e-05,284.979539060406,1.96586325096358e-16,TRUE,2.94893542810601e-158
"T2D","CAD","FinnGen",115,0.147416877014699,0.0261044489885635,1.63088149907883e-08,0.09436492496584,0.133751175509445,0.00420590626013395,0.351937760670098,0.131326971263022,8.35833141368791e-10,703.238197455733,1.25031223468579e-85,TRUE,0
"TC","CAD","CARDIoGRAM",427,0.450738670776369,0.0402588180435528,4.26449059827059e-29,0.570559116735338,8.9224579469854e-19,-0.00391097094627588,0.0106665920202363,0.419985368409604,2.12357790150326e-18,1173.44180386679,4.13726688296063e-71,TRUE,0
"TC","CAD","FinnGen",507,0.344916991022361,0.027723961714625,1.5630696869045e-35,0.412369247441965,9.34846694704941e-27,-0.00323231617777855,0.00460529664496383,0.284722036335087,4.86024562681668e-18,1904.11089612997,9.39949066413715e-161,TRUE,0
"TG","CAD","CARDIoGRAM",432,0.387315553990772,0.0435768749340965,6.21635973214362e-19,0.220602754394136,0.00106978465626106,0.00455124487473083,0.00123533705842712,0.307020507832757,3.75508604502335e-08,1113.8483721642,6.5259284383644e-62,TRUE,0
"TG","CAD","FinnGen",486,0.351902029384489,0.0325484315864886,3.03189798759841e-27,0.279459876799127,3.473358668578e-09,0.00240095506460531,0.029762158464915,0.342640743266486,3.62031517102222e-21,1622.64883632349,1.5375468194779e-122,TRUE,0
"BMI","eGFR","CKDGen",477,-0.00259236220954414,0.00353851637404096,0.46379465282852,0.00617448667790901,0.512587241030918,-0.000153899877720915,0.315927809761208,0.00186697367081658,0.70853197546605,750.018808993595,1.37483749499201e-14,TRUE,0
"CAD","eGFR","CKDGen",78,-0.00502754010044211,0.00399266452164365,0.207960187653021,-0.0074614200951307,0.362230377773479,0.000148566939667461,0.731986390769781,-0.00349735238911387,0.357968029004449,255.389131537389,5.57537620579833e-21,TRUE,4.5712875065118e-31
"HbA1c","eGFR","CKDGen",111,-0.000247823782176115,0.0053220915827166,0.962859839708115,-0.00697617434670697,0.445714402169374,0.000233388315029386,0.365027379811212,-0.00227859991724571,0.700983827249482,273.617996695894,6.11276153323993e-16,TRUE,0
"HDL","eGFR","CKDGen",168,0.00784373919091252,0.00574418790918923,0.172093186301772,0.0154334913637874,0.0763688507749046,-0.000230397949672315,0.243112186909853,0.00881973926332118,0.147942892857278,464.940076625207,6.57224855890264e-30,TRUE,1.19783639761775e-212
"HF","eGFR","CKDGen",12,0.00196077338225385,0.0165704214682921,0.905806407291502,-0.107337500283211,0.103199790004497,0.00405910023181108,0.0887240034035079,0.0211810120715808,0.081784986565104,47.481251835031,1.76610923287654e-06,TRUE,0.783007270619404
"LDL","eGFR","CKDGen",127,0.00527479061677291,0.00840657832015259,0.530357827508356,0.0257917481664152,0.139836140514974,-0.000445877692693198,0.179571151524221,-0.00642446229304489,0.471556286121151,375.295613213374,1.34127644798345e-26,TRUE,1.17120532351892e-119
"SBP","eGFR","CKDGen",175,-6.26024006629049e-05,0.000424770978021667,0.882832733867433,-0.00093816457142343,0.365388257909106,0.000293200064797188,0.354132364266269,7.08560127268809e-05,0.871778960593818,505.1195277978,5.16628487941511e-34,TRUE,2.85500170357296e-143
"T2D","eGFR","CKDGen",96,-0.000968238303678631,0.00235662982904259,0.681177256747838,-0.00142780166428358,0.779601379594344,3.88895788679524e-05,0.918918106160206,-0.00311727537795312,0.20443971598456,275.143864362467,1.97804368858554e-19,TRUE,1.17426317498681e-95
"TC","eGFR","CKDGen",146,0.004699537794863,0.00672781257079563,0.484849624075581,0.00441473533735572,0.689482735505066,7.58871177918967e-06,0.973986069751534,-0.00316037110914714,0.66272102304565,393.043045726541,9.27952609770751e-25,TRUE,3.24054922649917e-164
"TG","eGFR","CKDGen",159,0.00185683996885733,0.00794827929894873,0.815283617847583,-0.00241068617838437,0.879526612282356,8.42799822890012e-05,0.756407658392742,0.00161663542924775,0.858680963110998,463.070747922037,1.02002062802904e-31,TRUE,1.36424821905988e-104
"BMI","HF","FinnGen",493,0.515523498303481,0.0318733962854654,7.68120217164948e-59,0.636421291820728,3.20788590280414e-13,-0.00211063139553147,0.125488228129793,0.521191913377324,1.43940740211981e-31,755.099794692098,2.00601199093231e-13,TRUE,0
"BMI","HF","HERMES",505,0.522361130294578,0.0318474707403011,1.85148218772441e-60,0.700327970055185,1.14468916778299e-15,-0.00309870654839057,0.0237052661847439,0.563742108810964,5.54901878019509e-32,687.152554831498,9.48660793597319e-08,TRUE,0
"CAD","HF","FinnGen",174,0.184839214701034,0.0197099349626889,6.72539188329792e-21,0.150219292272662,0.000199236479181153,0.00214211250154458,0.313484485470295,0.180476485645888,3.8468518529123e-12,335.2070030764,1.88452428796166e-12,TRUE,0
"CAD","HF","HERMES",172,0.309756560011843,0.0192512773256701,2.98956217285587e-58,0.317597068646439,5.57913984432007e-14,-0.000481662631508412,0.815601209475396,0.313313832592396,1.54482439193584e-24,267.09470178109,3.58278941680133e-06,TRUE,0
"eGFR","HF","FinnGen",327,0.198269545247675,0.232653299247872,0.394097363486622,0.00570596543519824,0.990947367143783,0.000676229073700115,0.665686679784964,0.224214961224997,0.469023571554664,585.87113394372,4.49514439655758e-17,TRUE,0
"eGFR","HF","HERMES",330,0.177709679595784,0.239341519508344,0.457787991071896,0.383977745287616,0.470189477021668,-0.000710264645442083,0.663691926694689,0.317757583154463,0.339720306306988,538.797653655205,2.29979627624097e-12,TRUE,0
