transition,X,Y,stage_X,stage_Y,b_fwd,se_fwd,p_fwd,n_fwd,rev_edge,b_rev,se_rev,p_rev,n_rev,rev_ci_lo,rev_ci_hi,rev_units,rev_bound,rev_steiger_correct,rev_egger_int_p,evidence_label,verdict,knife_edge,legacy_mde,legacy_tost_p
BMI->T2D,BMI,T2D,1,2,0.990296297660629,0.0631954506060068,2.4115907281671e-55,463,T2D->BMI,0.00971636973261611,0.0176736744181817,0.582480485470689,103,-0.02492339560963585,0.04435613507486807,per SD,0.05,True,0.016721486308625,reverse-excluded,CONCORDANT,False,0.049514304414491346,0.011324578407354291
BMI->CAD,BMI,CAD,1,4,0.386980879552735,0.0279435910765911,1.29633992655145e-43,504,CAD->BMI,-0.00451497374271174,0.0175491945586688,0.796966282868568,76,-0.038910763043460556,0.02988081555803708,per SD,0.05,True,0.620851352299037,reverse-excluded,CONCORDANT,False,0.04916556348424912,0.004772953498338728
BMI->HF,BMI,HF,1,4,0.524647616025081,0.0198987598338068,3.37817527193691e-153,501,HF->BMI,0.229203306718388,0.159869233792739,0.151660059758607,14,-0.08413463382492542,0.5425412472617015,per SD,0.05,False,0.816054926029827,reverse-inconclusive,INDETERMINATE,False,0.44788727693103897,0.8688426165922875
BMI->Stroke,BMI,Stroke,1,4,0.151320703449841,0.0249397594549907,1.29958355931216e-09,504,Stroke->BMI,0.0153398462799005,0.01792272117475,0.392059600461642,11,-0.019788041735806384,0.050467734295607386,per SD,0.05,True,0.795487352511414,reverse-inconclusive,INDETERMINATE,True,0.05021203011806539,0.026564759435531216
SBP->CAD,SBP,CAD,2,4,0.0335822023384555,0.00239220730748779,9.10387214077985e-45,436,CAD->SBP,1.48120640718111,0.279087103287688,1.11244747341722e-07,141,0.9342057360592665,2.0282070783029535,mmHg,1.0,True,0.0327574075526573,reverse-pleiotropy-caveated,DISCORDANT_CAVEATED,False,0.7818862938953515,0.9999998537147288
SBP->HF,SBP,HF,2,4,0.0198823995174554,0.00155367097676527,1.7030642408877e-37,431,HF->SBP,1.9408797883599,0.705582993684553,0.00594596787521617,38,0.5579625323096937,3.3237970444101066,mmHg,1.0,False,0.243366679177171,reverse-wrong-direction,CONCORDANT,False,1.9767508618945924,0.9963176038768071
SBP->Stroke,SBP,Stroke,2,4,0.0268628637729715,0.0017764284206904,1.16251011795581e-51,434,Stroke->SBP,1.77224747898334,1.0277101267609,0.0846243998352496,22,-0.2420273564878086,3.786522314454489,mmHg,1.0,False,0.134486049047939,reverse-inconclusive,INDETERMINATE,False,2.8792174656078093,0.9531123470961548
LDL->CAD,LDL,CAD,2,4,0.510856329399863,0.0332615007626198,3.09304327312795e-53,483,CAD->LDL,0.246198328884985,0.0499861356241196,8.42171066856311e-07,175,0.1482273033123851,0.3441693544575849,per SD,0.05,False,0.00311214998723989,reverse-wrong-direction,CONCORDANT,False,0.1400404170199342,0.9999566450282538
LDL->HF,LDL,HF,2,4,0.121468868674459,0.0203273909579362,2.29209494745125e-09,379,HF->LDL,0.278954724264333,0.138632215640768,0.0441996338267157,45,0.007240574447674009,0.550668874080992,per SD,0.05,False,0.245129139221587,reverse-wrong-direction,CONCORDANT,False,0.3883899615029009,0.9506844034278737
HbA1c->T2D,HbA1c,T2D,2,2,1.06101996931874,0.0956453886252397,1.35253875136005e-28,198,T2D->HbA1c,0.279312389209003,0.0147587936486485,7.07872000200452e-80,110,0.25038568519560517,0.3082390932224008,per SD,0.05,False,0.787939821387835,reverse-wrong-direction,CONCORDANT,False,0.04134801763452573,1.0
HbA1c->CAD,HbA1c,CAD,2,4,0.183767238152452,0.0250328855969299,2.11951607085891e-13,336,CAD->HbA1c,0.0311895233873966,0.0145958124134005,0.0326076206786298,147,0.002582256725315691,0.05979679004947751,per SD,0.05,False,0.399118651164963,reverse-inconclusive,INDETERMINATE,False,0.040891411820421934,0.09874103719734817
T2D->CAD,T2D,CAD,2,4,0.128975010422208,0.02209901768047,5.33942999414376e-09,116,CAD->T2D,0.167535619614003,0.0348757718447547,1.55696018564194e-06,128,0.0991803628492068,0.23589087637879924,log-odds,0.04879016416943204,True,0.00329474978724928,reverse-pleiotropy-caveated,DISCORDANT_CAVEATED,False,0.09770744571570487,0.9996243259800001
T2D->HF,T2D,HF,2,4,0.0524635251614278,0.0131062373257923,6.25592936855118e-05,115,HF->T2D,0.421687219666153,0.118951449753433,0.00039255886551461,33,0.18854666218588723,0.6548277771464188,log-odds,0.04879016416943204,True,0.923857170026173,reverse-supported,DISCORDANT,False,0.33325261936348977,0.9991100580519408
T2D->Stroke,T2D,Stroke,2,4,0.0804873528594998,0.0128627691683115,3.91475596004718e-10,116,Stroke->T2D,0.23235806353537,0.0772678156652818,0.00263685445909705,18,0.08091592763179886,0.38380019943894117,log-odds,0.04879016416943204,True,0.611031758268793,reverse-supported,DISCORDANT,False,0.21647236764516442,0.9908644508784914
CAD->HF,CAD,HF,4,4,0.285128893290755,0.0122601074227689,1.21868603143507e-119,171,HF->CAD,0.806897542357364,0.149434982613516,6.6768697928131e-08,45,0.5140103583357715,1.0997847263789566,log-odds,0.04879016416943204,False,0.0231727668835403,reverse-wrong-direction,CONCORDANT,False,0.41865483341075904,0.9999997958669224
