"exposure","outcome","nsnp","snp_r2_exp","snp_r2_out","correct_dir","steiger_p","manual_r2x","manual_r2y","manual_correct","exp_binary","out_binary"
"LDL","CAD",483,0.0644294903405425,0.0123586244136946,TRUE,0,0.0644294903405425,0.0123586244136946,TRUE,FALSE,TRUE
"CAD","HF",171,0.0258563198595983,0.00275308287352114,TRUE,0,0.0258563198595983,0.00275308287352114,TRUE,TRUE,TRUE
"HF","CAD",45,0.00391610264276656,0.00732286726291258,FALSE,2.05267968432459e-78,0.00391610264276656,0.00732286726291258,FALSE,TRUE,TRUE
"BMI","CAD",504,0.0491580692271082,0.00435960705265777,TRUE,0,0.0491580692271082,0.00435960705265777,TRUE,FALSE,TRUE
"BMI","T2D",463,0.0446864885480232,0.0194113447662975,TRUE,0,0.0446864885480232,0.0194113447662975,TRUE,FALSE,TRUE
"T2D","CAD",116,0.0357235217914223,0.00281976403291191,TRUE,0,0.0357235217914223,0.00281976403291191,TRUE,TRUE,TRUE
"T2D","HF",115,0.0349122163186354,0.000770918447092076,TRUE,0,0.0349122163186354,0.000770918447092076,TRUE,TRUE,TRUE
"SBP","Stroke",434,0.0427139075815267,0.00484227684742661,TRUE,0,0.0427139075815267,0.00484227684742661,TRUE,FALSE,TRUE
"CAD","T2D",128,0.0191700798073674,0.0034716201791139,TRUE,0,0.0191700798073674,0.0034716201791139,TRUE,TRUE,TRUE
"HF","T2D",33,0.0029247086717877,0.0016590960798541,TRUE,5.55944097535956e-18,0.0029247086717877,0.0016590960798541,TRUE,TRUE,TRUE
"HbA1c","T2D",198,0.166195421246669,0.022713714713258,TRUE,0,0.166195421246669,0.022713714713258,TRUE,FALSE,TRUE
"LDL","HF",379,0.0508759066067964,0.00229397298508465,TRUE,0,0.0508759066067964,0.00229397298508465,TRUE,FALSE,TRUE
"BMI","HF",501,0.0490230108459984,0.00376986441111674,TRUE,0,0.0490230108459984,0.00376986441111674,TRUE,FALSE,TRUE
"BMI","Stroke",504,0.0492064184957604,0.00265727438819963,TRUE,0,0.0492064184957604,0.00265727438819963,TRUE,FALSE,TRUE
"SBP","CAD",436,0.0430723873257276,0.00839084804967621,TRUE,0,0.0430723873257276,0.00839084804967621,TRUE,FALSE,TRUE
"SBP","HF",431,0.0424864521369982,0.00329491205490581,TRUE,0,0.0424864521369981,0.00329491205490581,TRUE,FALSE,TRUE
"T2D","BMI",103,0.0326659091204403,0.00508666735026659,TRUE,0,0.0326659091204403,0.00508666735026659,TRUE,TRUE,FALSE
"CAD","BMI",76,0.0132081524854177,0.00185814754037715,TRUE,0,0.0132081524854177,0.00185814754037715,TRUE,TRUE,FALSE
