"edge","source","b","lo","hi","p","sig"
"BMI -> CAD","Primary (incl. UKB)",0.386980879552735,0.332211441042616,0.441750318062854,1.29633992655145e-43,TRUE
"BMI -> CAD","UKB-free outcome",0.42167954823159,0.349778418725033,0.493580677738147,1.40041726863249e-30,TRUE
"BMI -> CAD","FinnGen (independent)",0.281140078738495,0.218106936368232,0.344173221108758,2.29057330058782e-18,TRUE
"LDL -> CAD","Primary (incl. UKB)",0.510856329399863,0.445663787905128,0.576048870894598,3.09304327312795e-53,TRUE
"LDL -> CAD","UKB-free outcome",0.603291175728615,0.515921406933542,0.690660944523688,9.86942962033013e-42,TRUE
"LDL -> CAD","FinnGen (independent)",0.423006498544569,0.366542887407647,0.479470109681491,8.20342492201461e-49,TRUE
"TC -> CAD","Primary (incl. UKB)",0.434009464217162,0.372890798115014,0.49512813031931,4.91484755828678e-44,TRUE
"TC -> CAD","UKB-free outcome",0.450738670776369,0.371831387411006,0.529645954141732,4.26449059827059e-29,TRUE
"TC -> CAD","FinnGen (independent)",0.344916991022361,0.290578026061696,0.399255955983026,1.5630696869045e-35,TRUE
"TG -> CAD","Primary (incl. UKB)",0.392733726954263,0.332105346876919,0.453362107031607,6.19657923299496e-37,TRUE
"TG -> CAD","UKB-free outcome",0.387315553990772,0.301904879119943,0.472726228861601,6.21635973214362e-19,TRUE
"TG -> CAD","FinnGen (independent)",0.351902029384489,0.288107103474971,0.415696955294007,3.03189798759841e-27,TRUE
"SBP -> CAD","Primary (incl. UKB)",0.0335822023384555,0.0288934760157794,0.0382709286611316,9.10387214077985e-45,TRUE
"SBP -> CAD","UKB-free outcome",0.0330630810669215,0.0272117376623831,0.0389144244714599,1.65876772713339e-28,TRUE
"SBP -> CAD","FinnGen (independent)",0.0312575983739088,0.0257459241213034,0.0367692726265142,1.05484439758698e-28,TRUE
"BMI -> T2D","Primary (incl. UKB)",0.990296297660629,0.866433214472856,1.1141593808484,2.4115907281671e-55,TRUE
"BMI -> T2D","UKB-free outcome",0.929119369836374,0.815736833569201,1.04250190610355,4.76254088438487e-58,TRUE
"BMI -> T2D","FinnGen (independent)",0.869043921232071,0.774520218740778,0.963567623723364,1.35510944519481e-72,TRUE
"HbA1c -> T2D","Primary (incl. UKB)",1.06101996931874,0.87355500761327,1.24848493102421,1.35253875136005e-28,TRUE
"HbA1c -> T2D","UKB-free outcome",0.852033343185692,0.713840823906716,0.990225862464668,1.27567788716515e-33,TRUE
"HbA1c -> T2D","FinnGen (independent)",0.758399043682365,0.647431948270119,0.869366139094611,6.42232361944175e-41,TRUE
"CAD -> T2D","Primary (incl. UKB)",0.167535619614003,0.0991791067982838,0.235892132429722,1.55696018564194e-06,TRUE
"CAD -> T2D","UKB-free outcome",0.0958307115052798,0.0421444771593042,0.149516945851255,0.000467657516842588,FALSE
"CAD -> T2D","FinnGen (independent)",0.145011785490461,0.0956226586099878,0.194400912370934,8.67594837679871e-09,TRUE
"HF -> T2D","Primary (incl. UKB)",0.421687219666153,0.188542378149424,0.654832061182882,0.00039255886551461,FALSE
"HF -> T2D","UKB-free outcome",0.344967991786173,0.128468868072597,0.561467115499749,0.00178988249579698,FALSE
"HF -> T2D","FinnGen (independent)",0.376727418184804,0.174594116360468,0.57886072000914,0.000259230262586372,TRUE
"CAD -> HF","Primary (incl. UKB)",0.285128893290755,0.261099082742128,0.309158703839382,1.21868603143507e-119,TRUE
"CAD -> HF","UKB-free outcome",0.309756560011843,0.27202405645353,0.347489063570156,2.98956217285587e-58,TRUE
"CAD -> HF","FinnGen (independent)",0.184839214701034,0.146207742174164,0.223470687227904,6.72539188329792e-21,TRUE
"SBP -> HF","Primary (incl. UKB)",0.0198823995174554,0.0168372044029955,0.0229275946319153,1.7030642408877e-37,TRUE
"SBP -> HF","UKB-free outcome",0.0193334441049999,0.0151860906086791,0.0234807976013207,6.43260133664777e-20,TRUE
"SBP -> HF","FinnGen (independent)",0.0212422084955732,0.0170558367753338,0.0254285802158126,2.64372432292877e-23,TRUE
"BMI -> HF","Primary (incl. UKB)",0.524647616025081,0.48564604675082,0.563649185299342,3.37817527193691e-153,TRUE
"BMI -> HF","UKB-free outcome",0.522361130294578,0.459940087643588,0.584782172945568,1.85148218772441e-60,TRUE
"BMI -> HF","FinnGen (independent)",0.515523498303481,0.453051641583969,0.577995355022993,7.68120217164948e-59,TRUE
"SBP -> Stroke","Primary (incl. UKB)",0.0268628637729715,0.0233810640684183,0.0303446634775247,1.16251011795581e-51,TRUE
"SBP -> Stroke","UKB-free outcome",0.0327044406581742,0.0285288603098554,0.036880021006493,3.47009173243937e-53,TRUE
"BMI -> Stroke","Primary (incl. UKB)",0.151320703449841,0.102438774918059,0.200202631981623,1.29958355931216e-09,TRUE
"BMI -> Stroke","UKB-free outcome",0.202219657812579,0.143216931523025,0.261222384102133,1.8487488272332e-11,TRUE
