edge,TPMI_b,TPMI_p,BBJ_b,BBJ_p,EUR_b,EUR_p,TPMI_BBJ_concordant
BMI->CAD,0.407,2.3e-06,0.162,1.1e-01,0.387,1.3e-43,True
BMI->CKD,0.569,1.3e-15,,,,,
BMI->HF,0.588,3.5e-07,0.451,8.2e-10,0.525,3.4e-153,True
BMI->Stroke,0.093,3.7e-01,0.157,1.6e-02,0.151,1.3e-09,True
BMI->T2D,0.992,6.3e-56,-0.153,5.8e-01,0.99,2.4e-55,False
HDL->CAD,-0.091,5.4e-02,-0.144,2.3e-03,-0.305,7.4e-30,True
HDL->CKD,-0.115,1.9e-03,,,,,
HDL->HF,-0.082,9.6e-02,-0.018,5.8e-01,-0.123,1.0e-09,True
HDL->Stroke,-0.072,1.7e-01,0.005,8.9e-01,-0.1,4.5e-06,False
HDL->T2D,-0.085,9.3e-02,-0.021,6.8e-01,-0.488,1.1e-16,True
HbA1c->CAD,0.022,6.5e-01,0.067,2.9e-01,0.184,2.1e-13,True
HbA1c->CKD,0.14,2.7e-03,,,,,
HbA1c->HF,-0.059,3.7e-01,-0.18,1.4e-03,0.048,1.5e-02,True
HbA1c->Stroke,-0.004,9.5e-01,-0.031,5.3e-01,0.113,5.1e-07,True
HbA1c->T2D,1.123,4.4e-11,1.512,4.1e-13,1.061,1.4e-28,True
LDL->CAD,0.39,5.2e-17,0.527,5.4e-10,0.511,3.1e-53,True
LDL->CKD,-0.069,1.0e-01,,,,,
LDL->HF,0.02,7.5e-01,-0.011,8.2e-01,0.121,2.3e-09,False
LDL->Stroke,0.035,5.0e-01,-0.052,3.8e-01,0.07,2.0e-03,False
LDL->T2D,-0.065,1.1e-01,-0.051,4.0e-01,-0.008,8.9e-01,True
SBP->CAD,0.683,4.6e-08,0.527,2.0e-02,0.034,9.1e-45,True
SBP->CKD,0.273,5.8e-02,,,,,
SBP->HF,0.458,1.0e-03,0.857,1.0e-10,0.02,1.7e-37,True
SBP->Stroke,1.014,2.6e-12,0.973,9.5e-09,0.027,1.2e-51,True
SBP->T2D,-0.075,5.2e-01,-0.076,4.5e-01,0.017,3.0e-08,True
TC->CAD,0.338,1.9e-12,0.582,8.9e-10,0.434,4.9e-44,True
TC->CKD,-0.067,1.1e-01,,,,,
TC->HF,-0.003,9.6e-01,-0.028,6.1e-01,0.09,1.0e-05,True
TC->Stroke,0.02,6.8e-01,-0.026,5.7e-01,0.032,1.5e-01,False
TC->T2D,-0.106,6.2e-03,-0.045,4.5e-01,-0.041,3.7e-01,True
TG->CAD,0.076,6.7e-02,0.226,3.3e-06,0.393,6.2e-37,True
TG->CKD,0.062,1.1e-01,,,,,
TG->HF,0.023,6.8e-01,0.002,9.6e-01,0.109,4.3e-06,True
TG->Stroke,0.017,7.6e-01,0.031,4.1e-01,0.097,6.7e-05,True
TG->T2D,-0.026,6.6e-01,-0.053,4.2e-01,0.594,1.1e-13,True
