"edge","bx","by","sx","sy"
"CAD -> HF",0.03538309,0.0121,0.0062143238,0.0059
"CAD -> HF",0.03964405,0.0037,0.0050325052,0.0047
"CAD -> HF",0.30395836,0.0974,0.010439155,0.0092
"CAD -> HF",0.04820209,0.0058,0.0072765139,0.0067
"CAD -> HF",0.03805121,0.0093,0.0060685324,0.0057
"CAD -> HF",0.05866703,0.0202,0.0052901067,0.0052
"CAD -> HF",0.02864665,-0.0028,0.0050086288,0.0047
"CAD -> HF",0.05662931,0.031,0.0051081624,0.005
"CAD -> HF",0.04009814,0.0096,0.0052998463,0.0054
"CAD -> HF",0.04134343,0.02,0.0054915556,0.0058
"CAD -> HF",0.04143232,0.014,0.0054084137,0.0051
"CAD -> HF",0.04041485,0.015,0.0061525545,0.0081
"CAD -> HF",0.04022269,0.022,0.0062483251,0.0075
"CAD -> HF",0.05213168,0.0134,0.0084863523,0.0079
"CAD -> HF",0.03526434,0.0034,0.0049460637,0.0048
"CAD -> HF",0.03392628,0.0081,0.0049286309,0.0049
"CAD -> HF",0.03390518,0.0121,0.0053558082,0.0052
"CAD -> HF",0.08310403,0.0135,0.0096106963,0.0091
"CAD -> HF",0.03665452,0.0102,0.0048953293,0.0047
"CAD -> HF",0.04547212,-0.015,0.0056287184,0.0101
"CAD -> HF",0.13881684,0.0118,0.021816216,0.0183
"CAD -> HF",0.05459683,0.0155,0.0089678846,0.0084
"CAD -> HF",0.03862131,0.0125,0.0063517595,0.0061
"CAD -> HF",0.03713198,0.0041,0.0065952606,0.0078
"CAD -> HF",0.05443853,0.0202,0.0097775606,0.0097
"CAD -> HF",0.04981722,0.0127,0.0052780135,0.0051
"CAD -> HF",0.25133779,0.0422,0.022652937,0.0193
"CAD -> HF",0.06728478,0.0084,0.0074746123,0.0073
"CAD -> HF",0.0335757,0.0156,0.005817032,0.0057
"CAD -> HF",0.07486807,0.0054,0.0099021154,0.0093
"CAD -> HF",0.03290248,0.0184,0.0050555024,0.0048
"CAD -> HF",0.04208198,0.0226,0.0053270398,0.0052
"CAD -> HF",0.04634353,0.0085,0.0073087266,0.0067
"CAD -> HF",0.03837364,0.0113,0.0069210743,0.0079
"CAD -> HF",0.04578571,0.0167,0.0069519646,0.0068
"CAD -> HF",0.03480711,0.0123,0.0055553903,0.0053
"CAD -> HF",0.02849691,0.0128,0.0051482281,0.005
"CAD -> HF",0.05210807,0.023,0.0072146383,0.0066
"CAD -> HF",0.03723127,0.0192,0.0054669769,0.0054
"CAD -> HF",0.0481121,0.0128,0.0055060924,0.0053
"CAD -> HF",0.02826469,0.0061,0.0049638355,0.0049
"CAD -> HF",0.0299847,0.0209,0.0050319556,0.005
"CAD -> HF",0.09548326,0.0343,0.005969089,0.0056
"CAD -> HF",0.03381688,0.0094,0.0059481179,0.008
"CAD -> HF",0.03026208,-0.0041,0.0052917334,0.0052
"CAD -> HF",0.02868245,0.0103,0.0051409084,0.0049
"CAD -> HF",0.02842029,-0.0024,0.0049988045,0.005
"CAD -> HF",0.02819551,0.0093,0.0050617891,0.0049
"CAD -> HF",0.03521645,0.0057,0.0055871169,0.0102
"CAD -> HF",0.03068595,0.0146,0.0049462055,0.0047
"CAD -> HF",0.03236154,0.0076,0.0057772794,0.0054
"CAD -> HF",0.47972594,0.1492,0.02137107,0.0243
"CAD -> HF",0.02708085,0.0072,0.0049552391,0.0059
"CAD -> HF",0.08131363,-0.0374,0.014271377,0.0128
"CAD -> HF",0.06517368,0.0172,0.01036914,0.01
"CAD -> HF",0.11381468,0.0197,0.0076535989,0.007
"CAD -> HF",0.03151534,-0.0069,0.0056924994,0.0058
"CAD -> HF",0.08239244,0.0359,0.009028412,0.0093
"CAD -> HF",0.03025973,0.0106,0.0053131563,0.0051
"CAD -> HF",0.03964129,0.0046,0.0053291346,0.005
"CAD -> HF",0.06923909,0.0233,0.005524172,0.0056
"CAD -> HF",0.05574332,0.0041,0.0069843503,0.0067
"CAD -> HF",0.03227208,0.021,0.0048954542,0.0048
"CAD -> HF",0.03726063,0.0029,0.005753643,0.0057
"CAD -> HF",0.05878796,0.0161,0.0076468588,0.0078
"CAD -> HF",0.06429279,0.0209,0.0087743021,0.0086
"CAD -> HF",0.05950556,0.0096,0.0066405124,0.0063
"CAD -> HF",0.21406873,0.0649,0.033631414,0.0405
"CAD -> HF",0.036965,0.0199,0.0053767585,0.0053
"CAD -> HF",0.04476285,0.019,0.0055122903,0.0053
"CAD -> HF",0.04724263,0.0173,0.0049062042,0.0049
"CAD -> HF",0.04181016,0.0066,0.005489645,0.0053
"CAD -> HF",0.0649289,0.0163,0.0064022528,0.0069
"CAD -> HF",0.06070498,0.0181,0.0053276808,0.0052
"CAD -> HF",0.03110501,0.0098,0.0052976285,0.0054
"CAD -> HF",0.02851542,0.0118,0.0051256177,0.0048
"CAD -> HF",0.03193261,-2e-04,0.0058180534,0.0059
"CAD -> HF",0.03227089,8e-04,0.0050991079,0.0048
"CAD -> HF",0.03220675,0.0138,0.0051551797,0.006
"CAD -> HF",0.05499067,0.0041,0.0062961669,0.0064
"CAD -> HF",0.03907759,0.0062,0.0065081614,0.0067
"CAD -> HF",0.06524252,0.0123,0.0054134808,0.0053
"CAD -> HF",0.04163824,0.0132,0.005803748,0.0057
"CAD -> HF",0.10905558,0.0328,0.0076156775,0.0069
"CAD -> HF",0.04607903,0.037,0.007050207,0.007
"CAD -> HF",0.17427815,0.0428,0.0048914742,0.0049
"CAD -> HF",0.03581042,3e-04,0.0059181568,0.0056
"CAD -> HF",0.0289294,0.0154,0.0052832398,0.005
"CAD -> HF",0.05341285,0.0321,0.0081694126,0.0072
"CAD -> HF",0.04182197,0.0069,0.0073200238,0.007
"CAD -> HF",0.03408813,0.0054,0.0049749575,0.0048
"CAD -> HF",0.03347849,0.0164,0.0057283048,0.0056
"CAD -> HF",0.02970113,6e-04,0.0052499307,0.0052
"CAD -> HF",0.05695565,0.0132,0.0075593899,0.0079
"CAD -> HF",0.03781603,0.0131,0.0049762099,0.0048
"CAD -> HF",0.06806435,0.026,0.0066481103,0.0063
"CAD -> HF",0.03587231,0.0152,0.005226198,0.0049
"CAD -> HF",0.06356594,0.021,0.0064450456,0.006
"CAD -> HF",0.1119489,0.0483,0.0094982867,0.0088
"CAD -> HF",0.04610881,0.0125,0.0063045279,0.0068
"CAD -> HF",0.05266352,0.0017,0.0093209906,0.0088
"CAD -> HF",0.04870694,0.0202,0.0053595205,0.0054
"CAD -> HF",0.03103577,0.0113,0.0053250352,0.0053
"CAD -> HF",0.02865942,-0.004,0.0049708331,0.0048
"CAD -> HF",0.02920475,0.0153,0.0053334638,0.0054
"CAD -> HF",0.03278925,0.0263,0.0057835095,0.0056
"CAD -> HF",0.04829705,0.0276,0.0053301485,0.0052
"CAD -> HF",0.03155826,-0.0074,0.0053495504,0.0074
"CAD -> HF",0.04386094,0.0052,0.0073950599,0.0076
"CAD -> HF",0.07596013,0.0073,0.0073985494,0.0078
"CAD -> HF",0.05810981,0.0024,0.006493285,0.0065
"CAD -> HF",0.11445665,0.0421,0.0081921433,0.0085
"CAD -> HF",0.05778838,0.017,0.0059398575,0.0056
"CAD -> HF",0.11526619,0.0486,0.0088848367,0.0083
"CAD -> HF",0.06383691,0.0152,0.0069457684,0.0075
"CAD -> HF",0.07870587,0.0242,0.011219703,0.0097
"CAD -> HF",0.02842833,0.0018,0.0050264682,0.0063
"CAD -> HF",0.05449369,0.033,0.0095656009,0.0098
"CAD -> HF",0.06169973,0.016,0.0080258212,0.0077
"CAD -> HF",0.03349248,0.0109,0.0054927518,0.0056
"CAD -> HF",0.03382924,0.0158,0.0049690248,0.0048
"CAD -> HF",0.03895745,0.0194,0.0068945671,0.0067
"CAD -> HF",0.04817173,0.0221,0.0074686057,0.0069
"CAD -> HF",0.03299641,6e-04,0.0051010162,0.0049
"CAD -> HF",0.03565586,0.0061,0.0051780313,0.005
"CAD -> HF",0.04038446,0.0068,0.0068760967,0.0068
"CAD -> HF",0.03452124,0.0147,0.0050316272,0.0049
"CAD -> HF",0.05252652,0.0291,0.0092804034,0.0092
"CAD -> HF",0.03873517,0.0159,0.005371904,0.0054
"CAD -> HF",0.05375771,0.0445,0.0061037606,0.0057
"CAD -> HF",0.03934935,0.0142,0.0049497967,0.0047
"CAD -> HF",0.07844671,0.0226,0.0068575048,0.0069
"CAD -> HF",0.03653349,-0.0037,0.0050567503,0.0047
"CAD -> HF",0.03494098,0.0199,0.0051899603,0.0058
"CAD -> HF",0.03298296,0.0059,0.0049071265,0.0048
"CAD -> HF",0.03242807,0.0075,0.0054273945,0.0052
"CAD -> HF",0.09627739,0.0252,0.016575722,0.0146
"CAD -> HF",0.06872764,0.0082,0.004927585,0.0047
"CAD -> HF",0.06037827,0.0191,0.0050218825,0.0047
"CAD -> HF",0.03456895,0.0043,0.0061978191,0.006
"CAD -> HF",0.19714701,0.0523,0.025915402,0.0249
"CAD -> HF",0.05068574,0.0259,0.0076319974,0.0078
"CAD -> HF",0.04265219,0.0083,0.0058404417,0.0061
"CAD -> HF",0.10612084,0.0549,0.014594637,0.0153
"CAD -> HF",0.15368407,0.0238,0.0098659307,0.009
"CAD -> HF",0.03513634,0.0049,0.0057530724,0.0076
